
Project					Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
			10233489		10233489	HEAT SHRINK TUBE, 6:2 MM, TRANSPARENT	DepReq	POitem	         4501739179	                  70	-1.000	          7.000			02.12.2022	09.12.2022	C02	            10456568		BC0	M	            243
			10302067		10302067	SOLDER SLEEVE TERMINATION 13 TO 15.1	DepReq	ProjSt			-8					09.12.2022	C02	            10456568		BC7	EA	            120
			10302065		10302065	NYLON TUBING 12MM OD X 8.5MM ID (NATURAL	DepReq	POitem	         4501739179	                  60	-2	             30			19.10.2022	09.12.2022	C02	            10456568		BC0	M	            120
			10302064		10302064	BRAIDED NYLON SLEEVING NOM DIA 11.9MM	DepReq	POitem	         4501739180	                  70	-15	            100			16.12.2022	09.12.2022	C02	            10456568		BC0	M	            159
			10302066		10302066	SCREENING BRAID HBT99-07.5-2/0-F	DepReq	POitem	         4501739180	                  40	-15	            200			23.12.2022	09.12.2022	C02	            10456568		BC0	M	            120
			10292521		10292521	CRIMP MINISEAL PARALLEL BLUE D-436-58	DepReq	POitem	         4501739179	                  40	-100	            700			19.10.2022	09.12.2022	C02	            10456568		BC0	EA	            110
			10294694		10294694	BLACK EDGING STRIP, RAYRIM NR7, 1.2 M	DepReq	POitem	         4501739180	                  30	-15	            300			07.11.2022	09.12.2022	C02	            10456568		BC0	EA	            275
			BB15-080265-18		BB15-080265-18	HEATSHRINK SLEEVE BLACK 38.0 TO 19.0MM B	DepReq	POitem	         4501739180	                  60	-10	             90			07.11.2022	09.12.2022	C02	            10456568		BC0	EA	            159
			10202466		10202466	Black Expandable braided sleeve,30mm dia	DepReq	POitem	         4501739179	                  20	-60	            420			13.12.2022	09.12.2022	C02	            10456568		BC5	EA	            159
			10203021		10203021	BLACK EXPANDABLE BRAIDED SLEEVE 20MM	DepReq	ProjSt			-60					09.12.2022	L02	            10456568		BC0	EA	            159
			BB88-080017-05		BB88-080017-05	CRIMP MINISEAL SPLICE YELLOW D-436-38	DepReq	POitem	         4501743068	                  20	-100	            700			28.12.2022	09.12.2022	C02	            10456568		BC0	EA	            120
			10166798		10166798	STUB SPLICE (YELLOW) D-436-59	DepReq	POitem	         4501739180	                  20	-100	            700			07.11.2022	09.12.2022	C02	            10456568		BC0	EA	            190

		10063433			10063433	ANTI ROTATIONAL PIN, MONOLOCK OVERRIDE	OrdRes	POitem	         4501738546	                  20	-1	              8			18.11.2022	17.10.2022	M01	             8262171		BC3	EA	             99
		10063432			10063432	OVERRIDE HOUSING CAP/RECEPTACLE	OrdRes	ProjSt			-1					17.10.2022	M01	             8262171		BC3	EA	             99
		BB87-KC0005-12			BB87-KC0005-12	COPPER EARTH STRAP 6MM^2 M8xM8x300MM	OrdRes	ProjSt			-1					17.10.2022	L02	             8262171		BC5	EA	            159
		10108704			10108704	SHCS HEX, M8X12, A4-80	OrdRes	POitem	         4501738294	                  90	-1	              8			24.11.2022	17.10.2022	P01	             8262171		BC5	EA	            150
		10108705			10108705	SHCS HEX, M8X60, A4-80	OrdRes	POitem	         4501738294	                 100	-12	             96			24.11.2022	17.10.2022	P01	             8262171		BC5	EA	            150
		BB18-KC0951-01			BB18-KC0951-01	SHAFT SEAL RING (MONOLOCK MK2)	OrdRes	POitem	         4501736896	                  40	-1	              8			01.11.2022	17.10.2022	M01	             8262171		BC3	EA	            101
		BB20-080011-34			BB20-080011-34	O-RING, 164,5x3, NBR70A	OrdRes	Stock			-1					17.10.2022	B15	             8262171		B01	EA	            164
		BB88-080017-17			BB88-080017-17	CRIMP TERMINAL M6 RING TYPE	OrdRes	ProjSt			-6					17.10.2022	C02	             8262171		BC0	EA	            120
		10357900			10357900	CONTAINMENT SKIRT, COMP SCM - VECTUS	OrdRes	POitem	         4501739957	                  30	-1	              1			01.11.2022	17.10.2022	P02	             8262171		BC3	EA
		10358576			10358576	AQUASIGN 'E1' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  30	-1	              8			21.10.2022	17.10.2022	P02	             8262171		BC5	EA
		10358577			10358577	AQUASIGN 'E2' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  40	-1	              8			21.10.2022	17.10.2022	P02	             8262171		BC5	EA
		10358578			10358578	AQUASIGN 'E3' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  50	-1	              8			21.10.2022	17.10.2022	P02	             8262171		BC5	EA
		10358579			10358579	AQUASIGN 'E4' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  60	-1	              8			21.10.2022	17.10.2022	P02	             8262171		BC5	EA
		10358600			10358600	AQUASIGN 'O1' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  70	-1	              8			21.10.2022	17.10.2022	P02	             8262171		BC5	EA
		10358601			10358601	AQUASIGN 'O2' LABEL,  SELF-ADHESIVE	OrdRes	POitem	         4501738073	                  80	-1	              8			21.10.2022	17.10.2022	P02	             8262171		BC5	EA
		BB88-060328-10			BB88-060328-10	ICON SEM CONNECTOR ASSY - 16-WAY BRANTNE	OrdRes	ProjSt			-4					02.01.2023	S03	             8262172		BQ7	EA	            315
		BB88-060328-07			BB88-060328-07	ICON SEM CONN ASSY 90-WAY BRANTNER CABLE	OrdRes	ShpgNt	         4500945956	                  80	-4	             22			14.09.2022	02.01.2023	S03	             8262172		BC7	EA	            315
