
Project								Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
			10355384					10355384	RIMS IB 14 WAY 10 POP 10(V) (PSM)	DepReq	POitem	         4501725633	                  90	-1	              1			30.11.2022	28.10.2022	Y01	            10456967		BA1	EA	            189
			BBPOR091002					BBPOR091002	HVY NUT, 5/8-11, AISI316	DepReq	ProjSt			-32					28.10.2022	P01	            10456967		BC5	EA	            159
			10083175					10083175	HEXSO SCR,5/8-11x2.1/4,AISI316	DepReq	ProjSt			-32					28.10.2022	P01	            10456967		BC5	EA	            159

		10348734						10348734	MQC OUTBOARD FOR HYDRAULIC MQC ASSEMBLY	OrdRes	PrdOrd	             511030	                   1	-1	              1	20.10.2022	21.10.2022	24.10.2022	02.12.2022	A28	             8426978	           35		EA	            350
		10348730						10348730	ELECTRICAL SYSTEM FOR TRIPLE VCM (VCM-T)	OrdRes	PldOrd	          112486757		-1	              1	15.02.2023	27.02.2023	18.04.2023	18.04.2023	Y01	             8427173	           35	Y01	EA	            500

			10117539					10117539	7-WAY ROV DIGI DUMMY RECEPTACLE WIRED	DepReq	ShpgNt	         4501726535	                  90	-1	              4			08.09.2022	27.02.2023	S03	            10431176		BC7	EA	            295
			10048790					10048790	ELEC CONN DIGI 7WAY ROV DUMMY PLUG PB SP	DepReq	ShpgNt	         4501726535	                 120	-1	              4			07.12.2022	27.02.2023	S03	            10431176		BC7	EA	            295
			10351425					10351425	ELEC CONN, 7W(F) ROV DIG FLG JIC8 L=5M	DepReq	ShpgNt	         4501726535	                 140	-1	              2			16.01.2023	27.02.2023	S03	            10431176		BC7	EA	            274
			10323246					10323246	CAIXA IP65 70,4 x 53,3 x 39,4 CM	DepReq	ShpgNt	         4501729304	                  30	-1	              4			19.07.2022	27.02.2023	C02	            10431176		BC7	EA	            130
			10350921					10350921	QR CODE LABLE SIMPLE 120 x 100 mm	DepReq	PurRqs	           17583030	                  10	-1	              4	28.10.2022		14.06.2023	27.02.2023	Y01	            10431176		BC5	EA	            200

		10348735						10348735	AVI LOGIC CAP	OrdRes	PldOrd	          112487060		-1	              1	15.02.2023	27.02.2023	18.04.2023	18.04.2023	A28	             8427176	           35		EA	            350

			10355651					10355651	HYDR RIMS, O/B 14W - LOGIC CAP (PSM)	DepReq	POitem	         4501725633	                 250	-1	              1			01.03.2023	27.02.2023	Y01	            10456600		BA1	EA	            189
			10363483					10363483	QR CODE LABEL ROBUST 120 x 100 mm	DepReq	PurRqs	           17583059	                  10	-1	              2	28.10.2022		09.04.2024	27.02.2023	Y01	            10456600		Y01	EA	            500

		10348734						10348734	MQC OUTBOARD FOR HYDRAULIC MQC ASSEMBLY	OrdRes	PldOrd	          112487181		-1	              1	15.02.2023	27.02.2023	18.04.2023	18.04.2023	A28	             8427177	           35		EA	            350

			10350158					10350158	RIMS OB 14 WAY 12 POP (PSM)	DepReq	POitem	         4501725633	                 170	-1	              1			15.02.2023	27.02.2023	M03	            10456859	           10	BA1	EA	            189

		10348733						10348733	MQC INBOARD FOR HYDRAULIC MQC ASSEMBLY	OrdRes	PldOrd	          112486517		-1	              1	15.02.2023	27.02.2023	18.04.2023	18.04.2023	A28	             8427179	           35		EA	            350

			10355652					10355652	RIMS IB 14 WAY 12 POP 5(V) 7 NRPD (PSM)	DepReq	POitem	         4501725633	                 310	-1	              1			15.02.2023	27.02.2023	Y01	            10456855		BA1	EA	            189
			10350160					10350160	RIMS TRANSFER 0 WAY 0 POP (PSM)	DepReq	POitem	         4501725633	                 380	-1	              1			15.02.2023	27.02.2023	S03	            10456855	           10	BA1	EA	            260
			10350156					10350156	RIMS LTPC 14 WAY 12 POP (PSM)	DepReq	POitem	         4501725633	                 450	-1	              1			15.02.2023	27.02.2023	M03	            10456855	           10	BA1	EA	            189
			10350159					10350159	RIMS IB PARKING 14 WAY 12 POP (PSM)	DepReq	POitem	         4501725633	                  30	-1	              1			15.02.2023	27.02.2023	M03	            10456855	           10	BA1	EA	            189
			10355384					10355384	RIMS IB 14 WAY 10 POP 10(V) (PSM)	DepReq	POitem	         4501725633	                 100	-1	              1			15.02.2023	27.02.2023	Y01	            10456855		BA1	EA	            189
			BBPOR091002					BBPOR091002	HVY NUT, 5/8-11, AISI316	DepReq	ProjSt			-32					27.02.2023	P01	            10456855		BC5	EA	            159
			10083175					10083175	HEXSO SCR,5/8-11x2.1/4,AISI316	DepReq	ProjSt			-32					27.02.2023	P01	            10456855		BC5	EA	            159

		10348732						10348732	AVI ELECTRICAL MONITORING SYSTEM	OrdRes	PldOrd	          112486949		-1	              1	15.02.2023	27.02.2023	18.04.2023	18.04.2023	A28	             8427181	           35	BC3	EA

			10353537					10353537	JB 4W, 1PT, 1TPT, 2 ELEC CON (M) BLKHEAD	DepReq	ShpgNt	         4501726535	                 190	-1	              1			24.01.2023	27.02.2023	Y01	            10457141		BC7	EA	            386
			10048955					10048955	ELEC CONN DIGI ROV PARK REC 4/7-WAY PB	DepReq	ShpgNt	         4501726535	                  40	-1	              2			14.09.2022	27.02.2023	S03	            10457141		BC7	EA	            295
			10049239					10049239	ELEC CONN DIGI 7WAY ROV DUM PLUG PB	DepReq	ShpgNt	         4501726535	                  60	-2	              4			21.09.2022	27.02.2023	S03	            10457141		BC7	EA	            295
			BBANV000908					BBANV000908	ANEL "O" REF PARKER 2-154 90 SH A	DepReq	ProjSt			-2					27.02.2023	C02	            10457141		BC0	EA	            130
			BB91-BDE-210					BB91-BDE-210	BX151 GASKET, UNS N08825	DepReq	ShpgNt	         4501732856	                  20	-2	              2			04.10.2022	27.02.2023	M01	            10457141		BC0	EA	             99
			10121665					10121665	HVY NUT,3/4-10,A194 2HM	DepReq	POitem	         4501732888	                 210	-16	             32			09.11.2022	27.02.2023	P01	            10457141		BC5	EA	            129
			10198496					10198496	ST BLT,3/4-10x3.7/8,A193 B7M	DepReq	POitem	         4501732888	                 200	-16	             32			03.11.2022	27.02.2023	P01	            10457141		BC5	EA	            160
			10277509					10277509	NUT HEX, M8, A4-80	DepReq	ProjSt			-4					27.02.2023	P01	            10457141		BC5	EA	            189

		10323248						10323248	IP65 CASE 120,8 x 61,1 x 44,9 CM	OrdRes	ShpgNt	         4501729304	                  10	-1	              2			19.07.2022	18.04.2023	C02	             8427181		BC7	EA	            145
		10348731						10348731	ELEC SYSTEM FOR UMBILICAL VCM (VCM-U)	OrdRes	PldOrd	          112486763		-1	              1	15.02.2023	27.02.2023	18.04.2023	18.04.2023	A28	             8427183	           35	BC4	EA	            350

			10117539					10117539	7-WAY ROV DIGI DUMMY RECEPTACLE WIRED	DepReq	ShpgNt	         4501726535	                  90	-1	              4			08.09.2022	27.02.2023	S03	            10456594		BC7	EA	            295
			10048790					10048790	ELEC CONN DIGI 7WAY ROV DUMMY PLUG PB SP	DepReq	ShpgNt	         4501726535	                 120	-1	              4			07.12.2022	27.02.2023	S03	            10456594		BC7	EA	            295
			10352476					10352476	ELEC CONN, 7W(F) ROV DIG FLG JIC8 L=1.6M	DepReq	ShpgNt	         4501726535	                  20	-1	              2			22.12.2022	27.02.2023	S03	            10456594		BC7	EA	            274
			10323246					10323246	CAIXA IP65 70,4 x 53,3 x 39,4 CM	DepReq	ShpgNt	         4501729304	                  30	-1	              4			19.07.2022	27.02.2023	C02	            10456594		BC7	EA	            130
			10350921					10350921	QR CODE LABLE SIMPLE 120 x 100 mm	DepReq	PurRqs	           17583030	                  10	-1	              4	28.10.2022		14.06.2023	27.02.2023	Y01	            10456594		BC5	EA	            200

		10348767						10348767	ASSY, ANNULUS VCM T1	OrdRes	PldOrd	          112486888		-1	              1	07.11.2022	14.11.2022	03.01.2023	03.01.2023	A12	             8430978	           35		EA

			10353842					10353842	WLDMT, GOOSE NECK, STAGE 3	DepReq	POitem	         4501725343	                  20	-1	              4			14.11.2022	14.11.2022	M01	            10456809		BC8	EA	            189

				10352285				10352285	MACH, GOOSE NECK BENT PIPE	SubReq	ScPrSt			-4					19.07.2022	F01	             8613653		BC8	EA	            114
				10353852				10353852	MACH, 6BX FLANGE 7.1/16" - 10KSI	SubReq	ScPrSt			-4					19.07.2022	M01	             8613653	           30	BC8	EA	            114
				10353853				10353853	MACH, 6BX FLANGE 5.1/8" - 10KSI	SubReq	ScPrSt			-4					19.07.2022	M01	             8613653	           30	BC8	EA	            114
				10163690				10163690	CSTNG, ANODE 160X160X380, 25 kg	SubReq	ScPrSt			-8					19.07.2022	C02	             8613653		BC5	EA	            100
				BBFJD002272				BBFJD002272	FORG, HOLLOW BAR 8.1/2  4.1/2	SubReq	ScPrSt			-0,840					19.07.2022	F01	             8613653		BC2	M	            150

			10355549					10355549	MACH, ADAPTER 4.1/16" 5K X 7.1/16" 10K	DepReq	POitem	         4501743500	                  20	-1	              1			14.09.2022	14.11.2022	M01	            10456809		BC8	EA	            105

				10355094				10355094	FORG, 6BX 7.1/16" ADAPTER 4.1/16"	SubReq	ScPrSt			-1					09.05.2022	F01	            10277017		BC2	EA	            150

			10356050					10356050	WLDMT, FRAME W/ ANODES, A-VCM T1	DepReq	POitem	         4501732810	                  40	-1	              1			08.11.2022	14.11.2022	E06	            10456809		BC4	EA	            114

				10163690				10163690	CSTNG, ANODE 160X160X380, 25 kg	SubReq	ScPrSt			-5					13.07.2022	C02	             9200867		BC5	EA	            100

			10356404					10356404	ASSY, ROV PANEL, A/P VCM T1/T2	DepReq	POitem	         4501732810	                 550	-1	              4			08.11.2022	14.11.2022	Y01	            10456809	           30	BC4	EA	             15

				BBPFE014006				BBPFE014006	CSK HEX SCR, 1/2î x 2.1/2î, AISI31	SubReq	ScPrSt			-12					28.09.2022	P01	             9208713		BC5	EA	            160
				BBARR034001				BBARR034001	EXTTH LK WSHR, 1/2, B18.21.1-A, AISI 316	SubReq	ProjSt			-28					20.10.2022	P01	             9208713		BC5	EA	            140
				BBPFC029225				BBPFC029225	HEXSO SCR, 1/4-20x1-FT, AISI316	SubReq	ProjSt			-10					18.08.2022	P01	             9208713		BC5	EA	            160
				BBARR007018				BBARR007018	PL WSHR, 1/4, B18.22.1-A, AISI316	SubReq	ProjSt			-32					20.10.2022	P01	             9208713		BC5	EA	            135
				BBPOR091019				BBPOR091019	HVY NUT,1/4-20,AISI316	SubReq	ProjSt			-28					20.10.2022	P01	             9208713		BC5	EA	            160
				BBARR004005				BBARR004005	PL WSHR, 10,5, B18.22.1-A, AISI316	SubReq	ProjSt			-14					20.10.2022	L02	             9208713		BC5	EA	            150
				BBPOR091001				BBPOR091001	HVY NUT, 1/2-13, AISI316	SubReq	ProjSt			-28					20.10.2022	P01	             9208713		BC5	EA	            129
				BBPFE014004				BBPFE014004	CSK HEX SCR,1/2-13x2,AISI316	SubReq	ShpgNt	         4501728167	                  40	-20	            104			06.09.2022	20.10.2022	P01	             9208713		BC5	EA	            150
				BBPFC029220				BBPFC029220	HEXSO SCR,3/8-16x1,AISI316	SubReq	ProjSt			-14					20.10.2022	P01	             9208713		BC5	EA	            192
				BBPFE014282				BBPFE014282	CSK HEX SCR, 3/8-16x1.3/8-FT, AISI316	SubReq	ProjSt			-16					20.10.2022	P01	             9208713		BC5	EA	            192
				BBVAL000060				BBVAL000060	DIRECTIONAL VALVE 3/8" NPT	SubReq	ProjSt			-3					20.10.2022	V01	             9208713		BC5	EA	            150
				BBPFE014004				BBPFE014004	CSK HEX SCR,1/2-13x2,AISI316	SubReq	ShpgNt	         4501728167	                  40	-16	            104			06.09.2022	20.10.2022	P01	             9208713		BC5	EA	            150
				BBPFC034230				BBPFC034230	HEXSO SCR, 1/4-20x2.1/2-FT, AISI316	SubReq	ProjSt			-12					20.10.2022	P01	             9208713		BC5	EA	            160
				BBPFC029220				BBPFC029220	HEXSO SCR,3/8-16x1,AISI316	SubReq	ProjSt			-8					20.10.2022	P01	             9208713		BC5	EA	            192
				BBPOR091019				BBPOR091019	HVY NUT,1/4-20,AISI316	SubReq	ProjSt			-16					20.10.2022	P01	             9208713		BC5	EA	            160
				BBPOR091001				BBPOR091001	HVY NUT, 1/2-13, AISI316	SubReq	ProjSt			-16					20.10.2022	P01	             9208713		BC5	EA	            129
				BBARR034001				BBARR034001	EXTTH LK WSHR, 1/2, B18.21.1-A, AISI 316	SubReq	ProjSt			-16					20.10.2022	P01	             9208713		BC5	EA	            140
				BBARR004005				BBARR004005	PL WSHR, 10,5, B18.22.1-A, AISI316	SubReq	ProjSt			-8					20.10.2022	L02	             9208713		BC5	EA	            150
				BBPFC029225				BBPFC029225	HEXSO SCR, 1/4-20x1-FT, AISI316	SubReq	ProjSt			-8					19.09.2022	P01	             9208713		BC5	EA	            160
				BBVAL000080				BBVAL000080	SELECTOR VALVE 1/4" OF TURN C/ CONECTION	SubReq	ProjSt			-6					20.10.2022	V01	             9208713		BC5	EA	            159
				BBPFC034316				BBPFC034316	HEXSO SCR, 1/4-20x4.3/4-FT, AISI316	SubReq	ProjSt			-32					20.10.2022	P01	             9208713		BC5	EA	            150

			10356918					10356918	WLDMT, QR-CODE FRAME, A/P VCM T1/T2	DepReq	ProjSt			-1					14.11.2022	Y01	            10456809	           10	BC3	EA	            189
			BB18-BS0303-32					BB18-BS0303-32	PLATE OF POSITION INDICATOR	DepReq	ProjSt			-2					14.11.2022	C01	            10456809		BC4	EA	            120
			10361859					10361859	MACH, SL VISUAL INDICATOR	DepReq	POitem	         4501745462	                  20	-2	             18			02.01.2023	14.11.2022	P02	            10456809		BC3	EA	             90
			10354913					10354913	HEXSO SCR,1/4-20x1/2-FT,A320 L7	DepReq	POitem	         4501732885	                 240	-4	             36			09.11.2022	14.11.2022	P01	            10456809		BC5	EA	            164
			10361760					10361760	MACH,VISUAL INDICATOR LOCK - UNLOCK	DepReq	POitem	         4501744370	                  20	-1	              6			06.12.2022	14.11.2022	P02	            10456809		BC4	EA	             90
			10363283					10363283	MACH, LOCKING/UNLOCK INDICATOR	DepReq	PurRqs	           17426657	                  10	-1	              3	05.10.2022		24.11.2022	14.11.2022	M01	            10456809		BC3	EA	            114
			BBCNC000001					BBCNC000001	CONECTOR MACHO 3/8" NPT X 3/8" TUBO	DepReq	POitem	         4501739640	                  20	-2	             10			18.11.2022	14.11.2022	C02	            10456809		BC5	EA	            140
			BB18-BS0303-09					BB18-BS0303-09	MACH, FUNNEL FIXING BOLT	DepReq	POitem	         4501745305	                  20	-4	              4			23.11.2022	14.11.2022	U03	            10456809	           10	BC8	EA	            100

				BBFJD001287				BBFJD001287	FORG, ROUND BAR ÿ2" - 4130-80k	SubReq	ScPrSt			-0,460					25.07.2022	F01	            10446375		BC2	M	            150

			10354932					10354932	HVY NUT,1.1/8-8,A194 GR.7	DepReq	POitem	         4501732885	                  80	-12	            180			09.11.2022	14.11.2022	P01	            10456809		BC5	EA	            164
			10356572					10356572	ST BLT,1.1/8-8x6.1/4,A320 L7	DepReq	POitem	         4501732885	                  70	-12	             60			08.11.2022	14.11.2022	P01	            10456809		BC5	EA	            164
			BB91-BDE-213					BB91-BDE-213	BX155 GASKET, UNS N08825	DepReq	ProjSt			-1					14.11.2022	C03	            10456809		B02	EA	            280
			10121661					10121661	HVY NUT,1.1/2-8,A194 2HM	DepReq	POitem	         4501732888	                 180	-12	            474			04.11.2022	14.11.2022	P01	            10456809		BC5	EA	            150
			10355096					10355096	ST BLT,1.1/2-8x8,A193 B7M	DepReq	ProjSt			-12					14.11.2022	P01	            10456809		BC5	EA	            164
			10107820					10107820	MACH, BX 156 GASKET, UNS N08825	DepReq	ShpgNt	         4501732856	                  10	-1	             26			04.10.2022	14.11.2022	M01	            10456809		BC3	EA	            210
			10354959					10354959	ST BLT,1.1/2-8x13.1/2,A193 B7M	DepReq	ProjSt			-12					14.11.2022	P01	            10456809		BC5	EA	            164
			10121661					10121661	HVY NUT,1.1/2-8,A194 2HM	DepReq	POitem	         4501732888	                 180	-24	            474			04.11.2022	14.11.2022	P01	            10456809		BC5	EA	            150
			10107820					10107820	MACH, BX 156 GASKET, UNS N08825	DepReq	ShpgNt	         4501732856	                  10	-1	             26			04.10.2022	14.11.2022	M01	            10456809		BC3	EA	            210
			BBANV000707					BBANV000707	O-RING, 253,59x3,53, NBR90A	DepReq	POitem	         4501744031	                  40	-1	             13			02.01.2023	14.11.2022	C02	            10456809		B02	EA	            174
			10046534					10046534	FLANGE PROTECTOR - 7 1/16" 10KSI	DepReq	QM-lot	        80000114376		-1	              1		24.10.2022	24.10.2022	14.11.2022	C01	            10456809		BC4	EA	            140
			10354933					10354933	HEX SCR,3/4-10x2.1/8-FT,A320 L7	DepReq	POitem	         4501732885	                  50	-4	             24			09.11.2022	14.11.2022	P01	            10456809		BC5	EA	            164
			10354934					10354934	HVY NUT,3/4-10,A194 GR.7	DepReq	POitem	         4501732885	                 160	-4	             75			17.11.2022	14.11.2022	P01	            10456809		BC5	EA	            164
			BBARR007018					BBARR007018	PL WSHR, 1/4, B18.22.1-A, AISI316	DepReq	ProjSt			-14					14.11.2022	P01	            10456809		BC5	EA	            135
			BBPOR091019					BBPOR091019	HVY NUT,1/4-20,AISI316	DepReq	ProjSt			-7					14.11.2022	P01	            10456809		BC5	EA	            160
			BBPFC029227					BBPFC029227	HEXSO SCR,1/4-20x3/4,AISI316	DepReq	POitem	         4501740877	                  30	-7	             51			29.11.2022	14.11.2022	P01	            10456809		BC5	EA	            189
			10082788					10082788	HEX CAP SCREW 1/2" X 1 1/2" AISI 316	DepReq	POitem	         4501740877	                  40	-4	             12			18.11.2022	14.11.2022	P01	            10456809		BC5	EA	            150
			BBPOR091001					BBPOR091001	HVY NUT, 1/2-13, AISI316	DepReq	ProjSt			-4					14.11.2022	P01	            10456809		BC5	EA	            129
			BBARR034001					BBARR034001	EXTTH LK WSHR, 1/2, B18.21.1-A, AISI 316	DepReq	ProjSt			-8					14.11.2022	P01	            10456809		BC5	EA	            140
			BBARR034020					BBARR034020	ARR DENTADA 3/4" AISI 316	DepReq	ProjSt			-8					14.11.2022	L02	            10456809		BC5	EA	            150
			BBACA001021					BBACA001021	SCHACKLE HEAVY DUTY P-6036 GUNNEBO 25O T	DepReq	ProjSt			-1					14.11.2022	L01	            10456809		BC5	EA	            140
			10350906					10350906	QR CODE LABEL ROBUST 480 x 400 mm	DepReq	ShpgNt	         4501733920	                  40	-1	             13			26.08.2022	14.11.2022	Y01	            10456809		BC5	EA	            200
			BBREB000001					BBREB000001	RIVET BLIND ÿ 3,2 X 8 MM 304	DepReq	ProjSt			-4					14.11.2022	C02	            10456809		BC5	EA	            150
			10238056					10238056	API STANDARD NAMEPLATE - 140 x 127	DepReq	ProjSt			-1					14.11.2022	L02	            10456809		BC0	EA	            150
			10357835					10357835	MACH, A/P VCM T1 CONNECTOR INNER BODY	DepReq	PrdOrd	             509879	                   1	-1	              1	15.09.2022	16.09.2022	04.11.2022	14.11.2022	M22	            10456809	           45		EA
			BB18-BS0303-01					BB18-BS0303-01	MACH, EXTERNAL BODY	DepReq	PrdOrd	             510274	                   1	-1	              1	23.09.2022	26.09.2022	04.11.2022	14.11.2022	M22	            10456809	           55		EA
			BB18-BS0303-02					BB18-BS0303-02	MACH, PISTON, CONNEC 9" 5000 PSI	DepReq	POitem	         4501743768	                  20	-1	              1			23.12.2022	14.11.2022	U02	            10456809	           35	BC8	EA	             90

				10350644				10350644	FORG, PISTON 9" CONNECTOR - 4130	SubReq	ScPrSt			-1					25.07.2022	F01	            10311551		BC2	EA	            210

			BB18-BS0303-03					BB18-BS0303-03	MACH, ALIGNMENT RING	DepReq	ProjSt			-1					14.11.2022	M22	            10456809	           30		EA
			BB18-BS0303-05					BB18-BS0303-05	MACH, SEAL LOCKING KEY	DepReq	POitem	         4501739504	                  40	-3	             12			01.11.2022	14.11.2022	M01	            10456809		BC3	EA	            180
			BB18-BS0303-06					BB18-BS0303-06	MACH, ADAPTER 3/8" NPT	DepReq	ProjSt			-2					14.11.2022	U01	            10456809		BC3	EA	            140
			BB18-BS0143-57					BB18-BS0143-57	MACH, POSITION INDICATOR STEM	DepReq	POitem	         4501739315	                 170	-2	             18			18.11.2022	14.11.2022	U03	            10456809	            8	BC3	EA	            120
			10354931					10354931	ST BLT,1.1/8-8x5.1/4,A320 L7	DepReq	POitem	         4501732885	                  60	-20	            100			09.11.2022	14.11.2022	P01	            10456809		BC5	EA	            164
			BB91-BDD-069					BB91-BDD-069	MACH, LOCKING RING	DepReq	POitem	         4501737787	                  20	-1	              6			28.11.2022	14.11.2022	U01	            10456809	           40	BC8	EA	            120

				BB96-BFA-017				BB96-BFA-017	FORG, C TYPE RING - 4130 105 KSI	SubReq	ScPrSt			-6					27.07.2022	F01	             9674564		BC2	EA	            210

			BB91-BDE-209					BB91-BDE-209	4-1/16" SNX LONG SEAL	DepReq	POitem	         4501744148	                  20	-1	              1			22.12.2022	14.11.2022	U01	            10456809		BC8	EA	             75

				BBFJD002374				BBFJD002374	FORG, HOLLOW BAR, ÿ5.1/2" X ÿ3.1/2"	SubReq	ScPrSt			-0,085					15.09.2022	F01	            10330108		BC2	M	            150

			BB91-BDE-532					BB91-BDE-532	MACH, SOFT LANDING BUSHING	DepReq	POitem	         4501737410	                  20	-4	             32			09.11.2022	14.11.2022	M01	            10456809		BC3	EA	            120
			BBGAX000109					BBGAX000109	POLYPAC PIP SEAL 50018000P750B(18"x0.5")	DepReq	ProjSt			-1					14.11.2022	C03	            10456809		BC5	EA	            180
			BBGAX000110					BBGAX000110	POLYPAC PIP SEAL 50019000P750B(19"x0.5")	DepReq	ProjSt			-1					14.11.2022	C03	            10456809		B02	EA	            180
			BBGAX000111					BBGAX000111	PACKING POLYPACK PIP SEAL 50013500P750	DepReq	ShpgNt	         4501730191	                  40	-2	              4			11.10.2022	14.11.2022	C03	            10456809		B02	EA	            180
			BBGAX000202					BBGAX000202	PACKING POLYPACK STANDARD 50013500	DepReq	ProjSt			-1					14.11.2022	C03	            10456809		B02	EA	            180
			BBANV000384					BBANV000384	O-RING, 177,17x5,33, NBR90A	DepReq	ProjSt			-1					14.11.2022	C02	            10456809		B02	EA	            150
			BBANV000969					BBANV000969	O-RING REF PARKER 2-453 90 SH A	DepReq	ProjSt			-1					14.11.2022	C02	            10456809		B02	EA	            180
			BBANV000970					BBANV000970	O-RING REF PARKER 2-457 90 SH A	DepReq	ProjSt			-2					14.11.2022	C02	            10456809		B02	EA	            180
			BBANV000634					BBANV000634	O-RING REF PARKER 2-465 90 SH A	DepReq	ProjSt			-1					14.11.2022	C02	            10456809		B02	EA	             70
			BBPFE014227					BBPFE014227	CSK HEX SCR, 1/4-20x3/4-FT, AISI316	DepReq	ProjSt			-3					14.11.2022	P01	            10456809		BC5	EA	            150
			10354932					10354932	HVY NUT,1.1/8-8,A194 GR.7	DepReq	POitem	         4501732885	                  80	-20	            180			09.11.2022	14.11.2022	P01	            10456809		BC5	EA	            164
			BBBJS000005					BBBJS000005	HOLLOW HEX PIPE PLUG 3/8" AISI 316 NPTF	DepReq	ProjSt			-5					14.11.2022	C02	            10456809		BC5	EA	            159
			10065724					10065724	Ring type Joint Gaskets	DepReq	ProjSt			-1					14.11.2022	C02	            10456809		B02	EA	             70
			10196703					10196703	MACH, OUTER BODY, SWIVEL 6", 10ksi CLAD	DepReq	PrdOrd	             509602	                   1	-1	              1	30.08.2022	31.08.2022	04.11.2022	14.11.2022	M21	            10456809	           55		EA	            120
			10196623					10196623	MACH,  INNER BODY, SWIVEL 6", 10ksi CLAD	DepReq	PrdOrd	             509607	                   1	-1	              1	30.08.2022	31.08.2022	04.11.2022	14.11.2022	M21	            10456809	           55		EA
			10100479					10100479	COAT/S,FLANGE CLAMP SWIVEL 7 1/16" 10KSI	DepReq	POitem	         4501741696	                  20	-1	              1			25.11.2022	14.11.2022	U01	            10456809		BC8	EA	             75

				10099944				10099944	FLANGE CLAMP SWIVEL 10KSI, MACHINING	SubReq	POitem	         4501739309	                  20	-1	              4			03.11.2022	18.08.2022	U01	            10098033		BC8	EA	            165

					10082072			10082072	FORG, HOLLOW BAR 19.1/4"/ 10" -4130-105k	SubReq	ScPrSt			-0,523					19.05.2022	F01	             9867169		BC2	M	            210

			10124995					10124995	LOOSE FLANGE - SWIVEL - TUPI	DepReq	POitem	         4501737787	                  30	-1	              4			30.11.2022	14.11.2022	U01	            10456809	           20	BC8	EA	            100

				BBFJD002581				BBFJD002581	FORG, HOLLOW BAR, 19.3/8", 11.1/2", 4130	SubReq	ScPrSt			-0,560					19.08.2022	F01	             9674565		BC2	M	            210

