
Project								Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
			10141058					10141058	ELEC CONN ODI ROV 12W  PLUG (PINS) BULK	DepReq	ShpgNt	         4501727605	                  50	-2	              4			19.12.2022	20.12.2022	P02	            10458593		BC7	EA	            250
			10141056					10141056	ELEC CONN ODI ROV 12W RECEPT (SKTS) BULK	DepReq	ShpgNt	         4501727605	                  60	-4	              8			19.12.2022	20.12.2022	P02	            10458593		BC7	EA	            250
			10141057					10141057	ELEC CONN ODI STAB 4W PLUG (PINS) BULK	DepReq	ShpgNt	         4501727605	                  40	-5	             10			19.12.2022	20.12.2022	P02	            10458593		BC7	EA	            250
			10071241					10071241	BLADDER COVER PLATE	DepReq	POitem	         4501731077	                  40	-1	              2			20.12.2022	20.12.2022	C01	            10458593		BC4	EA	            150
			BB88-060328-07					BB88-060328-07	ICON SEM CONN ASSY 90-WAY BRANTNER CABLE	DepReq	ShpgNt	         4501729670	                  30	-4	              8			07.11.2022	20.12.2022	S03	            10458593		BC7	EA	            315
			BB88-060328-08					BB88-060328-08	ICON SEM CONN ASSY 96-WAY BRANTNER CABLE	DepReq	ShpgNt	         4501729670	                  10	-4	              8			07.11.2022	20.12.2022	S03	            10458593		BC7	EA	            315
			BB88-060328-10					BB88-060328-10	ICON SEM CONNECTOR ASSY - 16-WAY BRANTNE	DepReq	ShpgNt	         4501729670	                  20	-4	              8			07.11.2022	20.12.2022	S03	            10458593		BQ7	EA	            315
			BB94-080002-73					BB94-080002-73	COMPENSATOR BLADDER 20 LITRE	DepReq	POitem	         4501734276	                  20	-2	              4			28.11.2022	20.12.2022	C03	            10458593		VJ1	EA	            215
			BB18-080225-22					BB18-080225-22	BLADDER SUPPORT	DepReq	ProjSt			-2					20.12.2022	M01	            10458593		BC3	EA	            120
			BB17-060028-04					BB17-060028-04	ELBOW, MALE, 1/4" TUBE TO 1/4"BSPP MALE,	DepReq	ShpgNt	         4501727118	                  90	-2	             32			27.05.2022	20.12.2022	B15	            10458593		B01	EA	            175
			10018408					10018408	BLADDER SUPPORT TOP iCON SCM	DepReq	ProjSt			-2					20.12.2022	M01	            10458593		BC3	EA	            159
			10111667					10111667	SCREW HEX, M10X16, A4-80	DepReq	ProjSt			-18					20.12.2022	P01	            10458593		BC5	EA	            176
			10055591					10055591	GASKET ICON SCM MONOLOCK TOP COVER	DepReq	ProjSt			-1					20.12.2022	C03	            10458593		B02	EA	            158
			10108612					10108612	SHCS HEX, M8X50, A4-80	DepReq	POitem	         4501731587	                 130	-18	             68			17.11.2022	20.12.2022	P01	            10458593		BC5	EA	            216
			BB15-081942-01					BB15-081942-01	CAP VENT	DepReq	ProjSt			-1					20.12.2022	M01	            10458593		BC3	EA	            100
			BB17-080107-12					BB17-080107-12	PLUG, HEX HD, .250 MNPT, 316 SS	DepReq	POitem	         4501739715	                  30	-1	              2			07.12.2022	20.12.2022	M01	            10458593		BC5	EA	            169
			BB18-KC0951-01					BB18-KC0951-01	SHAFT SEAL RING (MONOLOCK MK2)	DepReq	POitem	         4501736567	                  30	-1	              2			05.12.2022	20.12.2022	M01	            10458593		BC3	EA	            101
			10108612					10108612	SHCS HEX, M8X50, A4-80	DepReq	POitem	         4501731587	                 130	-12	             68			17.11.2022	20.12.2022	P01	            10458593		BC5	EA	            216
			BB87-KC0005-03					BB87-KC0005-03	COPPER EARTH STRAP 6MM^2 M6xM6x300MM	DepReq	ProjSt			-1					20.12.2022	C02	            10458593		BC0	EA	            134
			10108582					10108582	SHCS HEX, M6X12, A4-80	DepReq	ProjSt			-6					20.12.2022	P01	            10458593		BC5	EA	            216
			BB17-080020-08					BB17-080020-08	MULTI GASKET COMP LOCTITE 574	DepReq	ProjSt			-1					20.12.2022	C02	            10458593		BC6	EA	             20
			BB18-KC0982-04					BB18-KC0982-04	BLANKING PLATE ELECTRICAL CONNECTOR	DepReq	ProjSt			-7					20.12.2022	M01	            10458593		BC3	EA	            219
			10118377					10118377	O-RING, 49,5x3, NBR70A	DepReq	ProjSt			-7					20.12.2022	P02	            10458593		B02	EA	            222
			BB17-080297-16					BB17-080297-16	WASHER FLAT M10 FORM'A' ST STL BS4320	DepReq	ProjSt			-16					20.12.2022	C02	            10458593		BC5	EA	            186
			10111861					10111861	SCREW HEX, M12X25, A4-80	DepReq	ProjSt			-8					20.12.2022	B15	            10458593		BC5	EA	            159
			10147233					10147233	ELEC CONN RCPT 12W ROV DUMMY CAP	DepReq	ShpgNt	         4501727605	                  30	-2	              4			03.11.2022	20.12.2022	S03	            10458593		BC7	EA	            250
			10108580					10108580	SCREW HEX, M16X25, A4-80	DepReq	ProjSt			-4					20.12.2022	P01	            10458593		BC5	EA	            176
			BB17-080020-16					BB17-080020-16	SEALANT, LOCTITE 567, 250ML, 2087069	DepReq	ProjSt			-1					20.12.2022	C02	            10458593	           15	BC6	EA	            160
			BB17-080020-35					BB17-080020-35	COMPOUND, THREAD LOCKING 243, 50ML	DepReq	ProjSt			-1					20.12.2022	C02	            10458593	           15	BC6	EA	            159
			BB20-080015-27					BB20-080015-27	CASTROL SPHEEROL SX2 GREASE-Patron 400ml	DepReq	ProjSt			-1					20.12.2022	C02	            10458593		BC0	EA	            205
			10054969					10054969	EARTH STRAP FLAT BRAID M6 - M10 EYELETS	DepReq	ShpgNt	         4501727914	                  50	-4	              8			27.10.2022	20.12.2022	L02	            10458593		BC0	EA	             60
			10145456					10145456	iCON CORE SEM B - SKULD SPS PROJECT	DepReq	POitem	         4501735556	                  70	-1	              1			07.12.2022	20.12.2022	P03	            10458593		BA1	EA	            210
			10212427					10212427	TUBE 1/4"ODx0.028 WALL TO ASTM A269 GRA	DepReq	ProjSt			-6					20.12.2022	C02	            10458593		VJ1	M	            159
			10202181					10202181	SHCS HEX, M4X12, A4-80	DepReq	ProjSt			-3					20.12.2022	P01	            10458593		BC5	EA	            175
			BB20-080010-02					BB20-080010-02	O-RING, 14,6x2,4, NBR70A	DepReq	Stock			-2					20.12.2022	B15	            10458593		B01	EA	             74
			BB20-080011-34					BB20-080011-34	O-RING, 164,5x3, NBR70A	DepReq	Stock			-1					20.12.2022	B15	            10458593		B01	EA	            164
			BB17-MX0020-42					BB17-MX0020-42	SHCS HEX, M6X20, A4-80	DepReq	ProjSt			-28					20.12.2022	P01	            10458593		BC5	EA	            176
			BB20-080017-01					BB20-080017-01	TRANSFORMER OIL - UNINHIBITED - 208L	DepReq	ShpgNt	         4501731638	                  10	-416	            832			19.10.2022	20.12.2022	C02	            10458593		BC7	L	            195
			10243227					10243227	DOWEL - PIN 6MM DIA (h6) X 20MM LG ST ST	DepReq	ProjSt			-5					20.12.2022	C02	            10458593		BC5	EA	            202
			10162089					10162089	ELECT CONN UNIVERSAL PROTECTIVE CAP ROV	DepReq	ShpgNt	         4501727605	                  70	-4	              8			19.12.2022	20.12.2022	S03	            10458593		BC7	EA	            250
			BB17-MX0021-01					BB17-MX0021-01	NUT HEX, M6, A4-80	DepReq	ProjSt			-6					20.12.2022	P01	            10458593		BC5	EA	            176
			BB88-KC2007-04					BB88-KC2007-04	TERMINATION SLEEVE 0.060"/0.067"DIA WIRE	DepReq	ShpgNt	         4501727605	                  20	-76	            140			03.11.2022	20.12.2022	S03	            10458593		BC7	EA	            250
			BS0000503					BS0000503	WASHER FLAT, M12, ISO 7089, A4	DepReq	ProjSt			-8					20.12.2022	U01	            10458593		BC5	EA	            150
			BB88-KC2007-21					BB88-KC2007-21	TERMINATION SLEEVE (BLANK) BLACK	DepReq	ProjSt			-16					20.12.2022	S03	            10458593		BC7	EA	            250
			BB14-KC0037-40					BB14-KC0037-40	SUB ASSEMBLY LOCKDOWN PROBE 1340LG API 1	DepReq	ShpgNt	         4501731846	                  20	-1	              2			22.12.2022	20.12.2022	S03	            10458593		U30	EA	            214
			10018329					10018329	VALVE MANIFOLD 6 WAY iCON SCM WELDMENT	DepReq	PldOrd	          112499258		-4	              4	02.12.2022	09.12.2022	23.12.2022	23.12.2022	A71	            10458593	           10		EA

				10018328				10018328	VALVE MANIFOLD (6 WAY) iCON SCM	DepReq	POitem	         4501736045	                  20	-4	              8			04.01.2023	09.12.2022	U01	            10454183		BC8	EA	            106

					10339687			10339687	FORGED, RECT BAR,  256x138x333 (MM)	SubReq	ScPrSt			-8					06.07.2022	F01	             9481439		BC2	EA	            176

				BB18-KC0640-15				BB18-KC0640-15	MANIFOLD PLUG (A DIA=4.9) (L1=15) ST STL	DepReq	ProjSt			-4					09.12.2022	M01	            10454183		BC3	EA	            116
				BB18-080650-23				BB18-080650-23	MANIFOLD PLUG (A DIA =5.9) (L1=23)ST STL	DepReq	ProjSt			-4					09.12.2022	M01	            10454183		BC3	EA	            116
				BB18-080650-35				BB18-080650-35	MANIFOLD PLUG (A DIA=5.9) (L1=35) ST STL	DepReq	ProjSt			-4					09.12.2022	M01	            10454183		BC3	EA	            116
				BB18-080650-72				BB18-080650-72	MANIFOLD PLUG (A DIA=5.9) (L1=72) ST STL	DepReq	ProjSt			-4					09.12.2022	M01	            10454183		BC3	EA	            116

			10018375					10018375	*SWITCH OVER VALVE MANIFOLD (LP)	DepReq	PldOrd	          112499216		-1	              1	30.11.2022	07.12.2022	23.12.2022	23.12.2022	A71	            10458593	           12		EA

				10018374				10018374	MANIFOLD,SWITCH OVER, VALVE  (LP)	DepReq	POitem	         4501741691	                  30	-1	              2			21.12.2022	07.12.2022	M01	            10453959		BC3	EA	            120

					10339768			10339768	FORGED, RECT BAR, 147x119x201 (MM)	SubReq	ScPrSt			-2					16.08.2022	F01	            10098031		BC2	EA	            176

				BB18-080650-02				BB18-080650-02	MANIFOLD PLUG (A DIA=5.9) (L1=2) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-08				BB18-080650-08	MANIFOLD PLUG (A DIA=5.9) (L1=8) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            160
				BB18-080650-10				BB18-080650-10	MANIFOLD PLUG (A DIA=5.9) (L1=10) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-12				BB18-080650-12	MANIFOLD PLUG (A DIA=5.9) (L1=12) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-14				BB18-080650-14	MANIFOLD PLUG (A DIA=5.9) (L1=14) ST STL	DepReq	ProjSt			-2					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-16				BB18-080650-16	MANIFOLD PLUG (A DIA=5.9) (L1=16) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-17				BB18-080650-17	MANIFOLD PLUG (A DIA=5.9) (L1=17) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-24				BB18-080650-24	MANIFOLD PLUG (A DIA=5.9) (L1=24) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-44				BB18-080650-44	MANIFOLD PLUG (A DIA=5.9) (L1=44) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-45				BB18-080650-45	MANIFOLD PLUG (A DIA=5.9) (L1=45) ST STL	DepReq	ProjSt			-2					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-46				BB18-080650-46	MANIFOLD PLUG (A DIA=5.9) (L1=46) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            120
				BB18-080650-61				BB18-080650-61	MANIFOLD PLUG (A DIA=5.9) (L1=61) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-07				BB18-080650-07	MANIFOLD PLUG (A DIA=5.9) (L1=7) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-13				BB18-080650-13	MANIFOLD PLUG (A DIA=5.9) (L1=13) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10453959		BC3	EA	            116
				BB18-080650-00				BB18-080650-00	MANIFOLD PLUG (A DIA=5.9) (L1=0) ST STL	DepReq	ProjSt			-2					07.12.2022	M01	            10453959		BC3	EA	            116

			10018377					10018377	SWITCH OVER VALVE MANIFOLD HP iCON SCM	DepReq	PldOrd	          112501554		-1	              1	30.11.2022	07.12.2022	23.12.2022	23.12.2022	A71	            10458593	           12		EA

				10018376				10018376	MANIFOLD TANSFER PLT SELECT VALVE (HP)	DepReq	POitem	         4501741407	                  20	-1	              2			31.01.2023	07.12.2022	M01	            10459486		BC3	EA	            120

					10339768			10339768	FORGED, RECT BAR, 147x119x201 (MM)	SubReq	ScPrSt			-2					22.09.2022	F01	            10061298		BC2	EA	            176

				BB18-KC0640-08				BB18-KC0640-08	MANIFOLD PLUG (A DIA=4.9) (L1=8) ST STL	DepReq	ProjSt			-3					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-13				BB18-KC0640-13	MANIFOLD PLUG (A DIA=4.9) (L1=13) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            120
				BB18-KC0640-18				BB18-KC0640-18	MANIFOLD PLUG (A DIA=4.9) (L1=18) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-21				BB18-KC0640-21	MANIFOLD PLUG (A DIA=4.9) (L1=21) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-44				BB18-KC0640-44	MANIFOLD PLUG (A DIA=4.9) (L1=44) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-24				BB18-KC0640-24	MANIFOLD PLUG (A DIA=4.9) (L1=24) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-27				BB18-KC0640-27	MANIFOLD PLUG (A DIA=4.9) (L1=27) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-37				BB18-KC0640-37	MANIFOLD PLUG (A DIA=4.9) (L1=37) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-02				BB18-KC0640-02	MANIFOLD PLUG (A DIA=4.9) (L=2) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-19				BB18-KC0640-19	MANIFOLD PLUG (A DIA=4.9) (L1=19) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-01				BB18-KC0640-01	MANIFOLD PLUG (A DIA=4.9) (L1=1) ST STL	DepReq	ProjSt			-2					07.12.2022	M01	            10459486		BC3	EA	            116
				BB18-KC0640-29				BB18-KC0640-29	MANIFOLD PLUG (A DIA=4.9) (L1=29) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10459486		BC3	EA	            187

			BB28-KC0448-05					BB28-KC0448-05	*WELDMENT FILTER MANIFOLD	DepReq	PldOrd	          112501590		-1	              1	30.11.2022	07.12.2022	23.12.2022	23.12.2022	A71	            10458593	           12		EA

				BB18-080650-04				BB18-080650-04	MANIFOLD PLUG (A DIA=5.9) (L1=4) ST STL	DepReq	ProjSt			-5					07.12.2022	M01	            10460262		BC3	EA	            116
				BB18-080650-34				BB18-080650-34	MANIFOLD PLUG (A DIA=5.9) (L1=34) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10460262		BC3	EA	            116
				BB19-KC0290-06				BB19-KC0290-06	FILTER MANIFOLD	DepReq	POitem	         4501741688	                  30	-1	              2			06.12.2022	07.12.2022	M01	            10460262		BC3	EA	            106
				BB18-080650-19				BB18-080650-19	MANIFOLD PLUG (A DIA=5.9) (L1=19) ST STL	DepReq	ProjSt			-2					07.12.2022	M01	            10460262		BC3	EA	            116
				BB18-080650-20				BB18-080650-20	MANIFOLD PLUG (A DIA=5.9) (L1=20) ST STL	DepReq	ProjSt			-1					07.12.2022	M01	            10460262		BC3	EA	            116
				BB18-080651-18				BB18-080651-18	MANIFOLD PLUG (A DIA=5.9) (L1=118) STSTL	DepReq	ProjSt			-1					07.12.2022	M01	            10460262		BC3	EA	            116

			10109138					10109138	FILTER HYDRAULIC 3/8" MPAC, 760 BAR	DepReq	POitem	         4501730258	                  10	-2	              4			14.09.2022	20.12.2022	C02	            10458593		BC7	EA	            199
			10048702					10048702	LOCATION PIN 50mm DIA 240mm LONG	DepReq	POitem	         4501736567	                  80	-2	              4			05.12.2022	20.12.2022	P02	            10458593		BC3	EA	            150
			10048701					10048701	LOCATION PIN 40mm DIA 240mm LONG	DepReq	POitem	         4501736567	                  90	-2	              4			05.12.2022	20.12.2022	P02	            10458593		BC3	EA	            150
			10053349					10053349	DUAL PRESSURE TRANSDUCER (mA) 759 BAR	DepReq	POitem	         4501727712	                  50	-21	             42			04.11.2022	20.12.2022	S03	            10458593		U30	EA	            242
			10024937					10024937	ACCUMULATOR ASSY SUBSEA 20L 390bar	DepReq	POitem	         4501729993	                  10	-1	              2			03.11.2022	20.12.2022	P02	            10458593		BC0	EA	            257
			10018373					10018373	SUPPLY MANIFOLD iCON SCM WELDMENT	DepReq	PldOrd	          112501691		-1	              1	02.12.2022	09.12.2022	23.12.2022	23.12.2022	A71	            10458593	           10		EA	            189

				10018372				10018372	MANIFOLD, SUPPLY,  iConSCM	DepReq	POitem	         4501738525	                  20	-1	              2			01.03.2023	09.12.2022	U01	            10454223		BC8	EA	             96

					10339767			10339767	FORGED, RECT BAR, 175x135x385 (MM)	SubReq	ScPrSt			-2					08.07.2022	F01	             9801457		BC2	EA	            176

				BB18-KC0640-13				BB18-KC0640-13	MANIFOLD PLUG (A DIA=4.9) (L1=13) ST STL	DepReq	ProjSt			-2					09.12.2022	M01	            10454223		BC3	EA	            120
				BB18-KC0640-33				BB18-KC0640-33	MANIFOLD PLUG (A DIA=4.9) (L1=33) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-KC0640-34				BB18-KC0640-34	MANIFOLD PLUG (A DIA=4.9) (L1=34) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-KC0640-47				BB18-KC0640-47	MANIFOLD PLUG (A DIA=4.9) (L1=47) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-KC0640-23				BB18-KC0640-23	MANIFOLD PLUG (A DIA=4.9) (L1=23) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-KC0641-39				BB18-KC0641-39	MANIFOLD PLUG (ADIA=4.9) (L1=139) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            120
				BB18-080650-03				BB18-080650-03	MANIFOLD PLUG (A DIA=5.9) (L1=3) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-07				BB18-080650-07	MANIFOLD PLUG (A DIA=5.9) (L1=7) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-12				BB18-080650-12	MANIFOLD PLUG (A DIA=5.9) (L1=12) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-20				BB18-080650-20	MANIFOLD PLUG (A DIA=5.9) (L1=20) ST STL	DepReq	ProjSt			-3					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-21				BB18-080650-21	MANIFOLD PLUG (A DIA=5.9) (L1=21) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-27				BB18-080650-27	MANIFOLD PLUG (A DIA=5.9) (L1=27) ST STL	DepReq	ProjSt			-2					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-29				BB18-080650-29	MANIFOLD PLUG (A DIA=5.9) (L1=29) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-34				BB18-080650-34	MANIFOLD PLUG (A DIA=5.9) (L1=34) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-44				BB18-080650-44	MANIFOLD PLUG (A DIA=5.9) (L1=44) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-54				BB18-080650-54	MANIFOLD PLUG (A DIA=5.9) (L1=54) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-14				BB18-080650-14	MANIFOLD PLUG (A DIA=5.9) (L1=14) ST STL	DepReq	ProjSt			-2					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-01				BB18-080650-01	MANIFOLD PLUG (A DIA=5.9) (L1=1) ST STL	DepReq	ProjSt			-2					09.12.2022	M01	            10454223		BC3	EA	            116
				BB18-080650-02				BB18-080650-02	MANIFOLD PLUG (A DIA=5.9) (L1=2) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454223		BC3	EA	            116

			10081220					10081220	DUAL PRESSURE TRANSDUCER (mA) 1035 BAR	DepReq	ProjSt			-6					20.12.2022	S03	            10458593		U30	EA	            242
			BB15-082340-55					BB15-082340-55	PRESS TRANSDUCER (MA) 0 - 759 BAR	DepReq	ProjSt			-6					20.12.2022	S03	            10458593		U30	EA	            242
			BB15-082340-56					BB15-082340-56	PRESSURE TRANSDUCER (MA) 0-1035 bar	DepReq	ProjSt			-4					20.12.2022	S03	            10458593		U30	EA	            242
			10106767					10106767	ACCUMULATOR ASSY 5L 760BAR MWP SUBSEA	DepReq	POitem	         4501729993	                  20	-1	              2			25.11.2022	20.12.2022	C03	            10458593		VJ1	EA	            257
			BB11-KS1012-11					BB11-KS1012-11	HYD CPLG(F)1/4"RF 10SAE(M) SP 690BAR	DepReq	POitem	         4501726116	                  80	-18	             36			10.11.2022	20.12.2022	S03	            10458593		BA1	EA	            189
			BB11-KS1012-61					BB11-KS1012-61	HYD CPLG(F)1/4"RF 10SAE(M) VP 690BAR	DepReq	ProjSt			-2					20.12.2022	P02	            10458593		BA1	EA	            240
			BB15-KC0639-01					BB15-KC0639-01	DUAL FLOWMETER PHOENIX FT08 (S/WTR TOL)	DepReq	ProjSt			-5					20.12.2022	S03	            10458593		U30	EA	            232
			10018410					10018410	TRANSFER PLT 2 x HP 1035 BAR WELDMENT	DepReq	PldOrd	          112501741		-1	              1	02.12.2022	09.12.2022	23.12.2022	23.12.2022	A71	            10458593	           10		EA

				10018411				10018411	TRANSFER PLT HP 2 WAY M/C	DepReq	POitem	         4501736567	                 140	-1	              2			05.12.2022	09.12.2022	M01	            10454273		BC3	EA	            180
				BB18-KC0640-01				BB18-KC0640-01	MANIFOLD PLUG (A DIA=4.9) (L1=1) ST STL	DepReq	ProjSt			-4					09.12.2022	M01	            10454273		BC3	EA	            116
				BB18-KC0640-43				BB18-KC0640-43	MANIFOLD PLUG (A DIA=4.9) (L1=43) ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454273		BC3	EA	            116
				BB18-KC0640-03				BB18-KC0640-03	MANIFOLD PLUG (A DIA=4.9) (L1=3) ST STL	DepReq	ProjSt			-2					09.12.2022	M01	            10454273		BC3	EA	            116
				BB18-KC0640-00				BB18-KC0640-00	MANIFOLD PLUG (A DIA=4.9) (L1=0)ST STL	DepReq	ProjSt			-2					09.12.2022	M01	            10454273		BC3	EA	            116
				BB18-KC0640-22				BB18-KC0640-22	MANIFOLD PLUG (A DIA=4.9) (L1=22)ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454273		BC3	EA	            116
				BB18-KC0640-51				BB18-KC0640-51	MANIFOLD PLUG (A DIA=4.9) (L1=51)ST STL	DepReq	ProjSt			-1					09.12.2022	M01	            10454273		BC3	EA	            116

			10018555					10018555	*HP RETURN FLOW METER MANIFOLD	DepReq	PldOrd	          112501578		-2	              1	30.11.2022	07.12.2022	23.12.2022	23.12.2022	A71	            10458593	           12		EA

				10018389				10018389	HP RETURN FLOW METER MANIFOLD PLATE	DepReq	POitem	         4501736567	                 100	-1	              4			05.12.2022	07.12.2022	M01	            10460144		BC3	EA	            116
				BB18-KC0640-09				BB18-KC0640-09	MANIFOLD PLUG (A DIA=4.9) (L1=9) ST STL	DepReq	ProjSt			-3					07.12.2022	M01	            10460144		BC3	EA	            116
				10018389				10018389	HP RETURN FLOW METER MANIFOLD PLATE	DepReq	POitem	         4501736567	                 100	-1	              4			05.12.2022	07.12.2022	M01	            10460145		BC3	EA	            116
				BB18-KC0640-09				BB18-KC0640-09	MANIFOLD PLUG (A DIA=4.9) (L1=9) ST STL	DepReq	ProjSt			-3					07.12.2022	M01	            10460145		BC3	EA	            116

			10113348					10113348	1 QUART COMPENSATOR, NORSOK M710 SEALING	DepReq	POitem	         4501734276	                  10	-3	              6			28.11.2022	20.12.2022	C03	            10458593		BC5	EA	            225
			BB91-080012-01					BB91-080012-01	FILTER CART PILOT LINE 18MICRON	DepReq	ProjSt			-1					20.12.2022	C02	            10458593		BC7	EA	            199
