
Project							Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time
			10121665				10121665	HVY NUT,3/4-10,A194 2HM	DepReq	PurRqs	           17054695	                  10	-4	              4	01.10.2022		15.03.2023	13.07.2023	P01	            10457244		BC5	EA	            129
			BB91-BDB-236				BB91-BDB-236	IDENTIFICATION PLATE  - PRODUTO	DepReq	PurRqs	           17583727	                  10	-1	              2	15.02.2023		13.07.2023	13.07.2023	C02	            10457244		BC5	EA	            120
			BBREB000001				BBREB000001	RIVET BLIND ÿ 3,2 X 8 MM 304	DepReq	PurRqs	           17583283	                  10	-4	              8	20.01.2023		13.07.2023	13.07.2023	C02	            10457244		BC5	EA	            150
			10087797				10087797	INCLIN. MEAS. BUBBLE TYPE - 0∫-5∫ 2500M	DepReq	PurRqs	           17292122	                  10	-1	              8	29.09.2022		22.03.2023	13.07.2023	C03	            10457244		BC0	EA	            150
			10314079				10314079	MACH, BULL EYE LOCK PLATE	DepReq	PurRqs	           17049689	                  10	-2	              2	01.10.2022		22.03.2023	13.07.2023	U01	            10457244		BC4	EA	            114
			BBARR007018				BBARR007018	PL WSHR, 1/4, B18.22.1-A, AISI316	DepReq	PurRqs	           17363688	                  10	-8	            176	27.09.2022		09.01.2023	13.07.2023	P01	            10457244		BC5	EA	            135
			BBPFS070225				BBPFS070225	PF SEXT 1/4" X 1" AISI 316	DepReq	PurRqs	           17583508	                  10	-2	              8	11.01.2023		13.07.2023	13.07.2023	P01	            10457244		BC5	EA	            160
			BBPFS070257				BBPFS070257	PF SEXT 3/8" X 1 7/8" AISI 316	DepReq	ShpgNt	         4501739684	                  80	-3	              3			22.11.2022	13.07.2023	P01	            10457244		BC5	EA	            180
			BBPOR091016				BBPOR091016	HVY NUT, 3/8-16, AISI316	DepReq	PurRqs	           17363593	                  10	-3	            420	27.09.2022		09.01.2023	13.07.2023	P01	            10457244		BC5	EA	            192
			10130046				10130046	ST BLT FT,1/2-13x22,A193 B7M	DepReq	PurRqs	           17051523	                  10	-2	              2	01.10.2022		13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10121171				10121171	NUT,1/2-13,A194 2HM	DepReq	PurRqs	           17052796	                  10	-20	             20	11.10.2022		13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            150
			10314203				10314203	WLDMT/MACH, SUPPORT FOR LOCK CILINDER	DepReq	PurRqs	           17049690	                  10	-2	              2	11.10.2022		13.04.2023	13.07.2023	U01	            10457244		BC4	EA	            114
			10136503				10136503	HEXSO SCR,1-8X3,A320 L7	DepReq	PurRqs	           17050199	                  10	-8	              8	01.10.2022		13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10360170				10360170	HYDRAULIC DIAGRAM, PAB RT MERO 4	DepReq	PldOrd	          112487673		-1	              1	05.07.2023	12.07.2023	13.07.2023	13.07.2023	A41	            10457244	            1	BC8	EA

				BBTUB180003			BBTUB180003	TUBING SS ASTM A269 TP 316L SL 3/8" OD	DepReq	POitem	         4501741654	                  30	-9	            108			03.05.2023	12.07.2023	P02	            10457395		BC0	M	            159
				10099715			10099715	TUBE OD 3/8" X WT 0,065" SAF 2507	DepReq	PurRqs	           17224701	                  10	-4	            259	26.09.2022		24.02.2023	12.07.2023	P02	            10457395		BC5	M	            159
				10100235			10100235	FEMALE CONNECTOR TUBE OD 3/8" x 1/2" NPT	DepReq	POitem	         4501741675	                 110	-1	              1			15.03.2023	12.07.2023	C02	            10457395		BC5	EA	            140
				10068900			10068900	CONNECTOR, 3/8" MALE NPT, 2507-600-1-6	DepReq	POitem	         4501741675	                  20	-1	              1			24.02.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10072741			10072741	MALE CONNECTOR OD 3/8" X 1/4" NPT	DepReq	POitem	         4501741675	                  30	-5	             79			24.02.2023	12.07.2023	C02	            10457395		BC0	EA	            159
				10084892			10084892	MALE CONNECTOR OD 3/8" x JIC DASH 4	DepReq	PurRqs	           17339972	                  10	-1	             13	29.09.2022		03.04.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10072596			10072596	MALE CONNECTOR 3/8" OD X 3/8" NPT	DepReq	POitem	         4501741675	                 180	-2	             34			22.05.2023	12.07.2023	C02	            10457395		BC0	EA	            159
				10109842			10109842	MALE CONNECTOR 3/8" OD X 3/8" NPT	DepReq	POitem	         4501741675	                 120	-1	             21			08.02.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10076845			10076845	MALE CONNECTOR TUBE OD 3/8" x 1/2" NPT	DepReq	PurRqs	           17332447	                  10	-6	             12	27.09.2022		29.03.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10099565			10099565	MALE STR CONN TUB OD 3/8"x13/16"-16UN-2	DepReq	PurRqs	           17224586	                  10	-6	            218	14.09.2022		24.02.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10140268			10140268	NEEDLE VLV OD 3/8" SS HANDLE 5000 PSI	DepReq	PurRqs	           17291005	                  10	-1	             12	26.09.2022		17.03.2023	12.07.2023	V01	            10457395		BC5	EA	            150
				10086345			10086345	PILOT CHECK VALVE 1/2" NPT 5000 PSI	DepReq	PurRqs	           17051846	                  10	-1	              1	11.10.2022		14.03.2023	12.07.2023	C03	            10457395		BC5	EA	            150
				BBFIL000005			BBFIL000005	FILTRO DE LINHA 1/2" NPT 40 MICRA	DepReq	PurRqs	           17289569	                  10	-2	              6	29.09.2022		22.03.2023	12.07.2023	C03	            10457395		BC5	EA	            150
				10028333			10028333	TEE, UNION, 3/8 TUBE SWAGELOK 2507-600-3	DepReq	ProjSt			-2					12.07.2023	C02	            10457395		BC5	EA	            159
				10072747			10072747	UNION TEE FOR TUBE OD 3/8"	DepReq	PurRqs	           17332459	                  10	-6	             12	24.10.2022		26.04.2023	12.07.2023	C02	            10457395		BC0	EA	            159
				10084715			10084715	PIPE PLUG 3/8" NPT MALE	DepReq	ProjSt			-1					12.07.2023	L02	            10457395		BC5	EA	            140
				10087430			10087430	CAP JIC DASH 4	DepReq	PurRqs	           17294940	                  10	-3	             73	04.10.2022		05.04.2023	12.07.2023	C02	            10457395		BC0	EA	            159
				10287873			10287873	MULTI-FLUID INTENSIFIER	DepReq	PurRqs	           17042987	                  10	-1	              5	05.09.2022		08.02.2023	12.07.2023	C03	            10457395		BC1	EA	            100
				10129878			10129878	BULKHEAD MALE CONN OD 3/8" x 9/16"-18 M	DepReq	PurRqs	           17321742	                  10	-2	             36	26.09.2022		09.03.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10072683			10072683	BULKHEAD MALE CONN OD 3/8" x JIC DASH 4	DepReq	PurRqs	           17307908	                  10	-2	             24	22.09.2022		03.03.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10109986			10109986	CAP 9/16" TYPE M	DepReq	POitem	         4501741783	                  70	-2	             36			16.02.2023	12.07.2023	C02	            10457395		BC0	EA	            159
				10110262			10110262	GLAND MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  50	-1	             40			16.02.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10112749			10112749	PLUG MEDIUM PRESSURE 9/16" OD TUBE	DepReq	POitem	         4501741783	                  60	-1	             40			16.02.2023	12.07.2023	C02	            10457395		BC5	EA	            159
				10088495			10088495	BALL VALVE OD 3/8" x OD 3/8" 6000 PSI	DepReq	POitem	         4501741675	                 100	-2	              2			14.03.2023	12.07.2023	V01	            10457395		BC5	EA	            150
				10143273			10143273	2-WAY BALL VALVE, OD 3/8", 10000 PSI	DepReq	POitem	         4501741675	                  90	-1	              1			24.02.2023	12.07.2023	V01	            10457395		BC5	EA	            159
				BBAFI002001			BBAFI002001	FIXING SET 3/8î REF - PARKER	DepReq	PurRqs	           16937156	                  10	-20	            220	23.09.2022		24.02.2023	12.07.2023	L02	            10457395		BC5	EA	            150
				BBAFI002004			BBAFI002004	CONJUNTO DE FIXACAO 1/2" REF- PARKER	DepReq	PurRqs	           17032556	                  10	-10	             50	01.10.2022		15.03.2023	12.07.2023	C02	            10457395		BC5	EA	            159

			BBARR023001				BBARR023001	ARR PLANA TIPO A DN 1/2" ASTM F436	DepReq	POitem	         4501743611	                  50	-4	              4			13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10314206				10314206	MACH, CLAMP DIA 334	DepReq	PurRqs	           17049959	                  10	-2	              2	01.10.2022		13.04.2023	13.07.2023	U01	            10457244		BC4	EA	            114
			10314207				10314207	MACH, FIXING BEAM	DepReq	PurRqs	           17049691	                  10	-1	              1	01.10.2022		13.04.2023	13.07.2023	U01	            10457244		BC4	EA	            114
			10314208				10314208	MACH, FIXATING PLATE FOR FIBAP PANNEL	DepReq	PurRqs	           17049960	                  10	-2	              2	01.10.2022		13.04.2023	13.07.2023	U01	            10457244		BC4	EA	            114
			10288093				10288093	MACH, INTENSIFIER SUPPORT PLATE	DepReq	PurRqs	           17050216	                  10	-1	              1	10.10.2022		13.04.2023	13.07.2023	M01	            10457244		BC3	EA	            150
			BBPFC029225				BBPFC029225	HEXSO SCR, 1/4-20x1-FT, AISI316	DepReq	PurRqs	           17057426	                  10	-6	             11	14.10.2022		10.04.2023	13.07.2023	P01	            10457244		BC5	EA	            160
			BBPOR091019				BBPOR091019	HVY NUT,1/4-20,AISI316	DepReq	PurRqs	           17366996	                  10	-6	            145	04.10.2022		15.02.2023	13.07.2023	P01	            10457244		BC5	EA	            160
			10090164				10090164	HEX SCR,1/2-13x1,AISI316	DepReq	PurRqs	           17544697	                  10	-4	             16	03.11.2022		26.04.2023	13.07.2023	P01	            10457244		BC5	EA	            150
			10102385				10102385	WASHER,FLAT,M12,AISI 316	DepReq	POitem	         4501743611	                  40	-4	              4			13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10316059				10316059	MACH, LOWER SLEEVE, PAB RT	DepReq	PurRqs	           17556229	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244	            1	BC8	EA	            135

				10316160			10316160	FORG, LOWER SLEEVE, PAB RT	SubReq	POitem	         4501740493	                 140	-1	              1			07.03.2023	31.01.2023	F02	            10457610		BC2	EA	            195

			10322070				10322070	MACH, KEY, LOWER SLEEVE, PAB RT	DepReq	PurRqs	           17050076	                  10	-4	              4	11.10.2022		13.04.2023	13.07.2023	U01	            10457244		BC3	EA	            150
			10121110				10121110	S-SEAL JAMES WALKER JW 449-458-2B1	DepReq	POitem	         4501744034	                  20	-2	              8			23.01.2023	13.07.2023	C02	            10457244		BC3	EA	            189
			10359656				10359656	UMBILICAL PLUMBING FIXED PLATE	DepReq	PurRqs	           17103551	                  10	-1	              1	11.10.2022		13.04.2023	13.07.2023	U01	            10457244		BC5	EA	            114
			10307992				10307992	MACH, ADAPTER BODY 18 3/4", PAB RT	DepReq	PurRqs	           17556118	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				10307994			10307994	PRE-CLAD, ADAPTER BODY, PAB RT	SubReq	POitem	         4501740493	                 160	-1	              1			28.03.2023	31.01.2023	M01	            10457609		BC2	EA	            150

			10313955				10313955	WLDMT, ROV PANEL FRAME, PAB RT	DepReq	PurRqs	           17445331	                  10	-1	              1	20.10.2022		13.04.2023	13.07.2023	E06	            10457244		BC4	EA	            114
			10127250				10127250	MACH, DOG 18 3/4", PAB RNNG TOOL / MUT	DepReq	PurRqs	           17557944	                  10	-6	              6	31.01.2023		13.07.2023	13.07.2023	U04	            10457244		BC8	EA	            135

				10116249			10116249	FORG, DOGS, 18 3/4" DOG CONN	SubReq	POitem	         4501740493	                 190	-1	              1			07.03.2023	31.01.2023	F01	            10459179		BC3	EA	            180

			10186257				10186257	MACH, CONECTOR INNER BODY, PAB RT	DepReq	PurRqs	           17558295	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				10191035			10191035	FORG, EXTERNAL BODY PAB RUNNING TOOL	SubReq	POitem	         4501740493	                 170	-1	              1			28.03.2023	31.01.2023	F01	            10425845		BC2	EA	            180

			10186253				10186253	MACH, LOCKING SLEEVE - PAB RT	DepReq	PurRqs	           17557947	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				10202296			10202296	FORG, LOCK RING PAB RT, AISI 4130 - 105K	SubReq	POitem	         4501740493	                 180	-1	              1			07.03.2023	31.01.2023	F01	            10459354		BC2	EA	            115

			BBPIN000054				BBPIN000054	PINO CIL DIN 7 DIA 12 M6 X 38 MM SAE1045	DepReq	POitem	         4501743611	                  60	-6	              6			29.03.2023	13.07.2023	C02	            10457244		BC5	EA	            159
			10313953				10313953	ASSY, UNDER GUIDE FRAME, PAB RT	DepReq	PurRqs	           16555471	                  10	-1	              1	20.10.2022		27.04.2023	13.07.2023	E06	            10457244		BC4	EA	            114

				BB91-BDA-523			BB91-BDA-523	MACH, GUIDE PIN	SubReq	PurRqs	           17176502	                  10	-4	              4	10.10.2022		27.01.2023	16.02.2023	M01	            10008309		BC3	EA	            100

			10113995				10113995	HEXSO SCR,3/4-10x3,A320 L7	DepReq	PurRqs	           17053207	                  10	-6	              6	22.09.2022		29.03.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10362800				10362800	TORQUE ASSEMBLY, SJ MAIN BODY W/ SUB	DepReq	PurRqs	           17556607	                  10	-1	              1	18.05.2023		13.07.2023	13.07.2023	P02	            10457244		BC8	EA	             30

				10204533			10204533	MACH, SAFETY JOINT MAIN BODY, PAB RT	SubReq	PldOrd	          112488508		-1	              1	06.03.2023	13.03.2023	18.05.2023	18.05.2023	M21	            10458323	           45	BC8	EA

					10141399		10141399	PRE-MACH, MAIN BODY PRT SAFETY JOINT	DepReq	POitem	         4501740493	                 150	-1	              1			28.03.2023	13.03.2023	M21	            10459343	           30	BC2	EA	            165

				10205509			10205509	MACH, SACRIFICE SUB 0,6M API 6.5/8"	SubReq	PurRqs	           17558012	                  10	-1	              1	09.12.2022		18.05.2023	18.05.2023	U01	            10458323	           20	BC8	EA	            135

					BBFJD002427		BBFJD002427	BAR OCA FORJ DIA 8 1/2" / 2 1/2" E4340	SubReq	POitem	         4501740500	                  80	-0,740	          0,740			24.01.2023	09.12.2022	F01	            10459332		BC2	M	            180

			10141961				10141961	MACH, SPECIAL SUB, SAFETY JOINT PAB RT	DepReq	PurRqs	           17557632	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				10181244			10181244	FORG, ADAPTER BODY SAFETY JOINT, PAB RT	SubReq	POitem	         4501740493	                 130	-1	              1			28.02.2023	31.01.2023	F01	            10459326		BC2	EA	            180

			10121933				10121933	MACH, PISTON LOCK NUT, SAFETY JOINT	DepReq	PurRqs	           16903038	                  10	-1	              1	19.08.2022		18.01.2023	13.07.2023	U01	            10457244		BC3	EA	            150
			10121900				10121900	MACH, CHECK PISTON, SJ PAB RT	DepReq	PurRqs	           17558009	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	M01	            10457244		BC8	EA	            135

				10155149			10155149	ROUND BAR, 4",17-4 PH 100K, PSL3	SubReq	POitem	         4501740737	                  60	-0,250	          0,250			15.02.2023	31.01.2023	F01	            10459556		BC2	M	            150

			10134017				10134017	MACH, COMPRESSION SPRING, De 87, dÿ11MM	DepReq	PurRqs	           17100169	                  10	-1	              1	15.10.2022		13.04.2023	13.07.2023	M01	            10457244		BC3	EA	            159
			10133352				10133352	MACH, WATERJET REDUCTION	DepReq	PurRqs	           17054006	                  10	-1	              1	11.10.2022		13.04.2023	13.07.2023	M01	            10457244		BC3	EA	            150
			10183764				10183764	MACH, UNLOCK PISTON FLANGE	DepReq	PurRqs	           17053721	                  10	-1	              1	11.10.2022		13.04.2023	13.07.2023	M01	            10457244		BC3	EA	            150
			10183659				10183659	MACH, LOCK GATE, SJ PAB RT	DepReq	PurRqs	           17557780	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				10196051			10196051	FORG, LOCK GATE, SJ PAB RT	SubReq	POitem	         4501740493	                 200	-1	              1			28.02.2023	31.01.2023	F01	            10459327		BC2	EA	            115

			10203784				10203784	MACH, BUSHING OF SLIDING LOCK, SJ PRT	DepReq	PurRqs	           17558011	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				BBFDO006001			BBFDO006001	BAR QUAD 2 1/2" UNS C95800	SubReq	POitem	         4501743615	                  20	-0,040	          0,040			03.01.2023	31.01.2023	F01	            10459329		BC2	M	            115

			10183658				10183658	MACH, SAFETY JOINT SHEAR PIN, PAB RT	DepReq	PurRqs	           17558236	                  10	-2	              2	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				10249408			10249408	ROUND BAR, ÿ2.00", ASTM A694 F65	SubReq	ShpgNt	         4501742218	                  20	-0,106	          0,106			22.02.2023	31.01.2023	F01	            10425804		BC2	M	            115

			10359741				10359741	ASSY, INTERFACE PAB RT SAFETY JOINT	DepReq	PurRqs	           17536899	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	A23	            10457244		BC4	EA	            135

				10228524			10228524	ROUND BAR,  ÿ4-1/8", AISI 8630	SubReq	ProjSt			-0,340					24.02.2023	F01	            10388947		BC2	M	            180
				BBPFE014006			BBPFE014006	CSK HEX SCR, 1/2î x 2.1/2î, AISI31	SubReq	PurRqs	           17059540	                  10	-4	              4	05.10.2022		27.01.2023	24.02.2023	P01	            10388947		BC5	EA	            160
				BBPOR091001			BBPOR091001	HVY NUT, 1/2-13, AISI316	SubReq	POitem	         4501742745	                  80	-4	              8			23.02.2023	24.02.2023	P01	            10388947		BC5	EA	            129
				BBARR034001			BBARR034001	EXTTH LK WSHR, 1/2, B18.21.1-A, AISI 316	SubReq	POitem	         4501740246	                  20	-4	             96			18.11.2022	24.02.2023	P01	            10388947		BC5	EA	            140
				10115710			10115710	HEXSO SCR,1/2-13x1,A320 L7	SubReq	PurRqs	           17536888	                  10	-3	              3	20.10.2022		24.02.2023	24.02.2023	P01	            10388947		BC5	EA	            180

			10314200				10314200	WLDMT, SAFETY JOINT ROV PANEL SUPPORT	DepReq	PurRqs	           17051553	                  10	-1	              1	11.10.2022		13.04.2023	13.07.2023	E06	            10457244		BC4	EA	            114
			10359657				10359657	SFTY JOINT ROV PANEL	DepReq	PurRqs	           17103552	                  10	-1	              1	11.10.2022		13.04.2023	13.07.2023	Y01	            10457244		BC4	EA	            140
			10049294				10049294	SPRINGSELE JW449-236-2B1	DepReq	PurRqs	           17053668	                  10	-4	              4	11.10.2022		13.04.2023	13.07.2023	C03	            10457244		BC3	EA	            150
			BB91-BDB-527				BB91-BDB-527	MACH, KEY LOCK	DepReq	PurRqs	           16748430	                  10	-3	             15	25.01.2023		13.06.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				BBBAR033007			BBBAR033007	FORG, ROUND BAR ÿ25mm - UNS S17400	SubReq	POitem	         4501740737	                  50	-0,150	          0,150			15.02.2023	20.01.2023	F01	             9680269		BC2	M	            150

			BBPFC029256				BBPFC029256	HEXSO SCR,1/4-20x1/2,AISI316	DepReq	ShpgNt	         4501739684	                  60	-5	             60			22.11.2022	13.07.2023	P01	            10457244		BC5	EA	            150
			BBANV000770				BBANV000770	O-RING, 123,19x5,33, NBR90A	DepReq	PurRqs	           17056845	                  10	-1	              1	01.10.2022		05.04.2023	13.07.2023	C02	            10457244		B02	EA	            174
			10073464				10073464	SPECIAL NUT, FIBAP, MACH	DepReq	PurRqs	           17557890	                  10	-1	              3	15.02.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            120

				BBFJD002364			BBFJD002364	BAR OCA FORJ DIA 15 1/2" / 10 1/4" 4130	SubReq	POitem	         4501740493	                  60	-0,690	          1,380			28.02.2023	15.02.2023	F01	            10459436		BC3	M	            180

			BBPSC014001				BBPSC014001	PF S/CAB SEXT INT 1/2" X 1.1/4" AISI 316	DepReq	POitem	         4501742745	                 110	-4	             24			24.02.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10113087				10113087	HEX SCR,1/2-13x1.1/4,ASTM A320 L7	DepReq	PurRqs	           17053332	                  10	-8	             16	01.10.2022		15.03.2023	13.07.2023	P01	            10457244		BC5	EA	            150
			10105506				10105506	S-SEAL - JAMES WALKER JW449-333-1B1	DepReq	PurRqs	           17053114	                  10	-2	              2	01.10.2022		13.04.2023	13.07.2023	C02	            10457244		BC3	EA	            174
			10204527				10204527	MACH, VISUAL INDICATOR SAFETY JOINT	DepReq	PurRqs	           17053234	                  10	-1	              1	07.10.2022		13.04.2023	13.07.2023	C01	            10457244		BC3	EA	            155
			10113120				10113120	NUT,1/2-13, A194 4/7	DepReq	PurRqs	           17057035	                  10	-4	             10	11.10.2022		13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            150
			10115706				10115706	HEXSO SCR,3/8-16x1,A320 L7	DepReq	PurRqs	           17053420	                  10	-4	              4	01.10.2022		13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10205680				10205680	S-SEAL JW449-367-1B1	DepReq	PurRqs	           17053347	                  10	-2	              2	01.10.2022		13.04.2023	13.07.2023	C02	            10457244		BC3	EA	            174
			10118729				10118729	MACH, TEST AND HANDLING PIN	DepReq	PurRqs	           17557752	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				BBFJD001327			BBFJD001327	BAR RED FORJ DIA 10 3/8" 4130	SubReq	POitem	         4501740500	                  90	-0,420	          0,420			24.01.2023	31.01.2023	F01	            10459325		BC2	M	            180

			BBBJS000005				BBBJS000005	HOLLOW HEX PIPE PLUG 3/8" AISI 316 NPTF	DepReq	PurRqs	           16748482	                  10	-2	             34	01.10.2022		05.04.2023	13.07.2023	C02	            10457244		BC5	EA	            159
			BBACA001027				BBACA001027	SHACKLE G-4163 GUNNEBO 85 T	DepReq	PurRqs	           16780464	                  10	-1	              2	05.10.2022		01.03.2023	13.07.2023	L01	            10457244		BC5	EA	            118
			10154064				10154064	HEX SCR 1/2" x 1" A320 L7	DepReq	PurRqs	           17050503	                  10	-4	              4	11.10.2022		13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            150
			10210791				10210791	MACH, FLANGE FOR SLIDING GATE	DepReq	PurRqs	           17053868	                  10	-1	              1	07.10.2022		13.04.2023	13.07.2023	C01	            10457244		BC3	EA	            155
			10210792				10210792	MACH, PLUG 2", SHEAR PIN SAFETY JOINT	DepReq	PurRqs	           17053348	                  10	-2	              2	11.10.2022		13.04.2023	13.07.2023	M01	            10457244		BC3	EA	             99
			BBANV000907				BBANV000907	ANEL "O" REF PARKER 2-262 70 SH A	DepReq	PurRqs	           17053187	                  10	-1	              1	01.10.2022		13.04.2023	13.07.2023	C02	            10457244		B02	EA	            174
			10258020				10258020	MACH, SHEAR PIN SLEEVE, PAB RUNNING TOOL	DepReq	PurRqs	           17558070	                  10	-2	              2	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				BBBAR035017			BBBAR035017	BAR RED AISI E4340H DIA 90,0 MM	SubReq	POitem	         4501740500	                 100	-0,200	          0,200			24.01.2023	31.01.2023	F01	            10459557	           10	BC2	M	            115

			10181243				10181243	WLDMT, SAFETY JOINT FUNNEL	DepReq	PurRqs	           17447119	                  10	-1	              1	14.10.2022		13.04.2023	13.07.2023	C01	            10457244		BC4	EA	            155
			10193329				10193329	MACH, PISTON SLEEVE PAB RUNNING TOOL	DepReq	PurRqs	           16870916	                  10	-2	              2	10.09.2022		24.02.2023	13.07.2023	M01	            10457244		BC3	EA	            150
			10193421				10193421	MACH, CYLINDER COVER PAB RUNNING TOOL	DepReq	PurRqs	           16871027	                  10	-2	              2	10.09.2022		24.02.2023	13.07.2023	M01	            10457244		BC3	EA	            150
			10193424				10193424	MACH, CYLINDER PISTON PAB RUNNING TOOL	DepReq	PurRqs	           17558010	                  10	-2	              2	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				BBBAR033020			BBBAR033020	FORG, ROUND BAR ÿ110mm - UNS S17400	SubReq	POitem	         4501739920	                  20	-0,400	          0,400			03.11.2022	31.01.2023	F01	            10459328		BC2	M	            150

			10314205				10314205	MACH, VISUAL INDICATOR PAB RT CYLINDER	DepReq	PurRqs	           17051276	                  10	-2	              2	11.10.2022		13.04.2023	13.07.2023	U01	            10457244		BC4	EA	            114
			10202005				10202005	HEX SCR, 1/2-13x1.1/4, ASTM A453 GR-660	DepReq	PurRqs	           17053345	                  10	-14	             14	01.10.2022		13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10076916				10076916	O'RING REF PARKER 2-241 90 SH A.	DepReq	PurRqs	           17053689	                  10	-8	              8	01.10.2022		13.04.2023	13.07.2023	C02	            10457244		B02	EA	            174
			10184630				10184630	MACH, LOCK ROD PAB RUNNING TOOL, 60 XMT	DepReq	PurRqs	           17290458	                  10	-2	              2	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

