28.10.2022                                                                                                                                                                    Dynamic List Display                                                                                                                                                                                                                             1


	Purch.Req.	Item	PO	Item	Material	Short Text	Req. Date	Release Dt	Deliv.dt	PO Date	PGr	Quantity	Un	Created by	Plnt	Requisnr.	Chngd On	Crcy	C	Deliv.Date	I	Language	Manufact.	MPN	Des. Supp.	Supplier	 PDT	S	POrg	Info rec.	Ordered	TrackingNo	Reserv.no.	RevLev	SLoc	  Total Value	Valn Price	Valn Price
	16068012	  10			10235853	MACH, POSITION INDICAT, TREE CAP SLNE II	11.04.2022	02.10.2022	25.02.2023		BC4	     11	EA	Structures	5260	Structures	03.08.2022	BRL	D	20230225		EN					120	N			     0			00	0404	      330,00	    30,00	     0,00
	16068023	  10			10235853	MACH, POSITION INDICAT, TREE CAP SLNE II	11.04.2022	02.10.2022	27.02.2023		BC4	      1	EA	Structures	5260	Structures	03.08.2022	BRL	D	20230227		EN					120	N			     0			00	0404	       30,00	    30,00	     0,00
	16068451	  10			BB91-BDB-236	IDENTIFICATION PLATE  - PRODUTO	11.04.2022	05.10.2022	02.02.2023		BC0	     14	EA	Connect. & E	5260	Connect. & E	05.09.2022	BRL	D	20230202		EN					120	N			     0			F1	0404	      499,38	    35,67	     0,00
	16068515	  10			BBGRU007001	GRAMPO PESADO 1/8" INOX 316	11.04.2022	02.09.2022	13.02.2023		BC5	     22	EA	Connect. & E	5260	Connect. & E	14.07.2022	BRL	D	20230213		EN					134	N			     0			00	0404	       95,26	     4,33	     0,00
	16068525	  10			BBGRU007001	GRAMPO PESADO 1/8" INOX 316	11.04.2022	02.09.2022	14.01.2023		BC5	      2	EA	Connect. & E	5260	Connect. & E	11.07.2022	BRL	D	20230114		EN					134	N			     0			00	0404	        8,66	     4,33	     0,00
	16068644	  10			BBCAB000027	CABO DE ACO DIA 1/8" 7 X 7 AISI 316	11.04.2022	02.09.2022	13.02.2023		BC5	 16,500	M	Comerciais N	5260	Comerciais N	14.07.2022	BRL	D	20230213		EN					134	N			     0			00	0404	       70,62	     4,28	     0,00
	16068654	  10			BBCAB000027	CABO DE ACO DIA 1/8" 7 X 7 AISI 316	11.04.2022	02.09.2022	14.01.2023		BC5	  1,500	M	Comerciais N	5260	Comerciais N	11.07.2022	BRL	D	20230114		EN					134	N			     0			00	0404	        6,42	     4,28	     0,00
	16068739	  10			10084353	MALE STR CONNECTOR TUBE OD 3/8"x1/8" NPT	11.04.2022	20.08.2022	20.02.2023		BC5	    253	EA	Connect. & E	5260	Connect. & E	28.08.2022	BRL	D	20230220		EN		SS-600-1-2			154	N			     0				0404	    7.665,90	    30,30	     0,00
	16068749	  10			10084353	MALE STR CONNECTOR TUBE OD 3/8"x1/8" NPT	11.04.2022	20.08.2022	20.02.2023		BC5	      9	EA	Connect. & E	5260	Connect. & E	19.07.2022	BRL	D	20230220		EN		SS-600-1-2			154	N			     0				0404	      272,70	    30,30	     0,00
	16068771	  10			10072683	BULKHEAD MALE CONN OD 3/8" x JIC DASH 4	11.04.2022	09.09.2022	10.02.2023		BC5	    110	EA	Connect. & E	5260	Connect. & E	28.08.2022	BRL	D	20230210		EN					154	N			     0			01	0404	   38.146,90	   346,79	     0,00
	16068781	  10			10072683	BULKHEAD MALE CONN OD 3/8" x JIC DASH 4	11.04.2022	20.08.2022	10.02.2023		BC5	      4	EA	Connect. & E	5260	Connect. & E	10.07.2022	BRL	D	20230210		EN					154	N			     0			01	0404	    1.387,16	   346,79	     0,00
	16074444	  10			BBANV000387	ANEL "O" REF PARKER 2-116 90 SH A	13.04.2022	12.09.2022	01.03.2023		BC5	     88	EA	Connect. & E	5260	Connect. & E	26.09.2022	BRL	D	20230301		EN					170	N			     0			01	0404	      221,76	     2,52	     0,00
	16077907	  10	4501731776	 120	10177522	MACH, VGX LOCKING ROD END	14.04.2022	05.10.2022	17.01.2023	24.05.2022	BC3	     66	EA	SubCon Machi	5260	SubCon Machi	15.07.2022	BRL	D	20230117		EN					100	B			     0			01	0404	1.083.900,18	16.422,73	     0,00
	16081486	  10	4501733522	  20	10235850	WELD & MACH, LOWER FRAME	16.04.2022	15.08.2022	09.02.2023	14.06.2022	BC4	     11	EA	Structures	5260	Structures	15.07.2022	BRL	D	20230209		EN					120	B			     0			00	0404	   15.400,00	 1.400,00	     0,00
	16081497	  10	4501733522	  40	10235850	WELD & MACH, LOWER FRAME	16.04.2022	15.08.2022	10.01.2023	14.06.2022	BC4	      1	EA	Structures	5260	Structures	13.07.2022	BRL	D	20230110		EN					120	B			     0			00	0404	    1.400,00	 1.400,00	     0,00
	16093039	  20			10144553	INSERT 2" (50) MACH / WELD OD 73 / ID 54	18.04.2022	29.06.2022	15.10.2022		BC3	      4	EA	367270	5260	367270	28.06.2022	BRL	D	20221015		EN					110	N			     0	F.L HXT		01	0404	        0,04	     0,01	     0,00
	16125143	  10			10214344	4 Legs Sling - 6.2 ton (30º) X 3.3m	26.04.2022	20.08.2022	06.02.2023		BC5	     12	EA	Lifting Comp	5260	Lifting Comp	14.07.2022	BRL	D	20230206		EN					134	N			     0			01	0404	   18.000,00	 1.500,00	     0,00
	16125155	  10			10214344	4 Legs Sling - 6.2 ton (30º) X 3.3m	26.04.2022	20.09.2022	03.03.2023		BC5	      3	EA	Lifting Comp	5260	Lifting Comp	11.07.2022	BRL	D	20230303		EN					134	N			     0			01	0404	    4.500,00	 1.500,00	     0,00
	16125218	  10			10216560	TURNBUCKLE_7/8", SHACKLE SHACKLE	26.04.2022	01.09.2022	14.02.2023		BC5	     48	EA	Lifting Comp	5260	Lifting Comp	05.09.2022	BRL	D	20230214		EN					120	N			     0			01	0404	  240.000,00	 5.000,00	     0,00
	16125230	  10			10216560	TURNBUCKLE_7/8", SHACKLE SHACKLE	26.04.2022	15.09.2022	03.03.2023		BC5	     22	EA	Lifting Comp	5260	Lifting Comp	04.10.2022	BRL	D	20230303		EN					120	N			     0			01	0404	  110.000,00	 5.000,00	     0,00
	16125372	  10			BBCAB000036	CABO DE ACO DIA 1/2" 6 X 25 FILLER AACI	26.04.2022	26.08.2022	06.02.2023		BC5	    120	M	Commercials	5260	Commercials	14.07.2022	BRL	D	20230206		EN					134	N			     0			00	0404	    1.051,20	     8,76	     0,00
	16125384	  10			BBCAB000036	CABO DE ACO DIA 1/2" 6 X 25 FILLER AACI	26.04.2022	10.09.2022	07.02.2023		BC5	     30	M	Commercials	5260	Commercials	11.07.2022	BRL	D	20230207		EN					134	N			     0			00	0404	      262,80	     8,76	     0,00
	16125397	  10			BBGRU007003	GRAMPO PESADO 1/2" GALVANIZADO	26.04.2022	26.08.2022	06.02.2023		BC5	     96	EA	Fasteners	5260	Fasteners	14.07.2022	BRL	D	20230206		EN					134	N			     0			00	0404	      363,84	     3,79	     0,00
	16125409	  10			BBGRU007003	GRAMPO PESADO 1/2" GALVANIZADO	26.04.2022	22.09.2022	03.02.2023		BC5	     24	EA	Fasteners	5260	Fasteners	11.07.2022	BRL	D	20230203		EN					134	N			     0			00	0404	       90,96	     3,79	     0,00
	16140662	  10	4501733275	  20	BB17-000231-06	THREDSEAL, WASHER, .88" BOLT,1.562 OD X	29.04.2022	29.04.2022	28.09.2022	10.06.2022	BC5	      5	EA	362924	5260		29.04.2022	BRL	D	20220928		EN		718257-0.875			180	B			     0			02	0404	        0,05	     0,01	     0,00
	16143438	  10			10202902	19" LCD DESKTOP MONITOR DVI/VGA	30.04.2022	24.07.2022	19.12.2022		BC7	      3	EA	Control Syst	5260	Control Syst	14.07.2022	BRL	D	20221219		EN					 90	N			     0			00	0404	    2.400,00	   800,00	     0,00
	16143441	  10			10202903	KEYBOARD & MOUSE, DESKTOP, USB	30.04.2022	24.07.2022	19.12.2022		BC7	      3	EA	Control Syst	5260	Control Syst	14.07.2022	BRL	D	20221219		EN					 90	N			     0			00	0404	    2.400,00	   800,00	     0,00
	16155770	  10			10048665	BASEPLATE SCMMB (iCON MONOLOCK)	01.05.2022	30.09.2022	28.02.2023		BC3	      2	EA	MTP	5260	MTP	31.08.2022	BRL	D	20230228		EN					150	N			     0			09	0404	   19.000,00	 9.500,00	     0,00
	16156282	  10			BB17-080150-29	EYEBOLT, COLLAR, ISO 3266, M16, 0.8T WLL	01.05.2022	27.01.2023	28.02.2023		BC5	      6	EA	Lifting Comp	5260	Lifting Comp	10.05.2022	BRL	D	20230228		EN					 30	N			     0			05	0404	    9.000,00	 1.500,00	     0,00
	16159711	  60			10136643	OVERRIDE STEM EXT. , 2-1/16" ACTUATOR	02.05.2022	14.06.2022	15.12.2022		BC3	     14	EA	367270	5260	367270	14.06.2022	BRL	D	20221215		EN					240	N			     0			06	0404	        0,14	     0,01	     0,00
	16159711	  80			BB18-HS0000-43	STEM, NON-RISING, HYBRID PENETRATOR	02.05.2022	14.06.2022	15.12.2022		BC3	      2	EA	367270	5260	367270	14.06.2022	BRL	D	20221215		EN					240	N			     0			08	0404	        0,02	     0,01	     0,00
	16171190	  10			10111133	FLANGE, WN, 2 1/16", 5/8" SB, 69MPa	05.05.2022	15.07.2022	10.02.2023		BC3	      2	EA	367270	5260	367270	15.08.2022	BRL	D	20230210		EN					210	N			     0	TRK PRTS		02	0404	        0,02	     0,01	     0,00
	16171191	  10			10136642	OVERRIDE EXT ADAPTER, 2-1/16",534MM, F/M	05.05.2022	15.07.2022	10.02.2023		BC3	     14	EA	367270	5260	367270	08.07.2022	BRL	D	20230210		EN					210	N			     0	TRK PRTS		05	0404	        0,14	     0,01	     0,00
	16189691	  10			10236328	NYLON TUBING 6MM OD X 4.5MM ID (NATURAL)	08.05.2022	17.08.2022	24.01.2023		BC0	     45	M	Connect. & E	5260	Connect. & E	04.07.2022	BRL	D	20230124		EN	140765	415-0288			160	N			     0	VERDADEIRA		00	0404	   36.000,00	   800,00	     0,00
	16227279	  10			10324307	SUPPORT, AIV COMPENSATOR	17.05.2022	01.07.2022	28.12.2022		BC4	      2	EA	276828	5260	276828	02.08.2022	BRL	D	20221228		EN					180	N			     0	ELN WI		00	0401	        0,02	     0,01	     0,00
	16242681	  10			10302064	BRAIDED NYLON SLEEVING NOM DIA 11.9MM	20.05.2022	06.01.2023	15.06.2023		BC0	    200	M	Connect. & E	5260	Connect. & E	16.09.2022	BRL	D	20230615		EN	102693	HEGPA6612 GREY			159	N			     0	VERDADEIRA		00	0404	   10.626,00	    53,13	     0,00
	16242697	  10			BB18-080734-01	BLANKING FLANGE »	20.05.2022	18.08.2022	16.12.2022		BC3	      4	EA	Connect. & E	5260	Connect. & E	13.07.2022	BRL	D	20221216		EN					120	N			     0	FALSA		03	0404	      120,00	    30,00	     0,00
	16242821	  10			BB18-KC0640-03	MANIFOLD PLUG (A DIA=4.9) (L1=3) ST STL	20.05.2022	04.04.2022	28.11.2022		BC3	     12	EA	MTP	5260	MTP	21.06.2022	BRL	D	20221128		EN		SEE DRG NO 30-080229-01			120	N			     0			00	0404	      360,00	    30,00	     0,00
	16246873	  10	4501741701	  20	10015245	SPCR, TH, UPR, 8 HYD 1ELEC	21.05.2022	15.07.2022	10.02.2023	19.09.2022	BC3	      2	EA	Tubing	5260	Tubing	08.07.2022	BRL	D	20230210		EN					210	B			     0			03	0404	        0,02	     0,01	     0,00
	16274477	  10			10123864	BPS SPACER, MIDDLE	27.05.2022	08.07.2022	21.01.2023		BC3	      4	EA	Tubing	5260	Tubing	08.07.2022	BRL	D	20230121		EN					220	N			     0			06	0404	        0,04	     0,01	     0,00
	16274502	  10			10123936	BPS SPACER, LOWER	27.05.2022	15.06.2022	12.12.2022		BC3	      4	EA	Tubing	5260	Tubing	15.06.2022	BRL	D	20221212		EN					240	N			     0			06	0404	        0,04	     0,01	     0,00
	16274517	  10			BB18-HS0016-73	SPRING LOADED DOG, TGB HGR	27.05.2022	29.08.2022	21.02.2023		BC3	     16	EA	Gen. MRP Con	5260	Gen. MRP Con	29.08.2022	BRL	D	20230221		EN					180	N			     0			04	0404	        0,16	     0,01	     0,00
	16274519	  10			BB15-HS0000-43	SPRING, COMP, LEE #LHL 1000 C01	27.05.2022	22.07.2022	21.01.2023		BC5	     16	EA	Commercials	5260	Commercials	08.07.2022	BRL	D	20230121		EN		LEE #LHL-1000C-1			185	N			     0			05	0404	        0,16	     0,01	     0,00
	16274525	  10			BB18-HS0055-13	INSERT, HP-HT TUBING HANGER	27.05.2022	11.07.2022	21.02.2023		BC3	      2	EA	Tubing	5260	Tubing	11.07.2022	BRL	D	20230221		EN					240	N			     0			04	0404	        0,02	     0,01	     0,00
	16274535	  10			10123938	BPS SPACER, TOP	27.05.2022	11.07.2022	21.02.2023		BC3	      2	EA	Tubing	5260	Tubing	11.07.2022	BRL	D	20230221		EN					240	N			     0			06	0404	        0,02	     0,01	     0,00
	16274613	  10			10114038	ORIENTATION SLEEVE, TUBING HANGER, F/M	27.05.2022	26.10.2022	15.04.2023		BC8	      2	EA	Tubing	5260	315074	26.10.2022	BRL	D	20230415	L	EN					150	N			     0	NACE 3	   9808825	06	0404	        0,02	     0,01	     0,00
	16276764	 120			10146907	PLATE, 25mm THK, NORSOK M-120 Y20	26.09.2022	26.09.2022	28.10.2022		BC4	  0,980	M2	276828	5260		26.09.2022	BRL	D	20221028		EN					 10	N			     0	HALTEN		01	0404	        0,01	     0,01	     0,00
	16288277	  10			10210378	MCS RACK PROTECT PACKAGE, 1100x1600x2500	29.05.2022	27.09.2022	09.01.2023		BC5	      8	EA	Comerciais N	5260	Comerciais N	02.08.2022	BRL	D	20230109		EN					104	N			     0			00	0404	      826,56	   103,32	     0,00
	16288547	  10			BBGAX000048	PACKING POLYPACK TYPE B 50031500-750B	29.05.2022	14.07.2022	10.11.2022		BC0	     20	EA	Connect. & E	5260	Connect. & E	20.10.2022	BRL	D	20221110		EN					140	N			     0			04	0404	    6.524,80	   326,24	     0,00
	16288652	  10			BBGAX000047	PACKING POLYPACK TYPE B 50029750-750B	29.05.2022	14.07.2022	10.11.2022		BC0	     20	EA	Connect. & E	5260	Connect. & E	03.10.2022	BRL	D	20221110		EN					140	N			     0			04	0404	    6.312,80	   315,64	     0,00
	16288674	  10			10210379	MCS PARTS PROTECT PACKAGE,1500x1200x1400	29.05.2022	27.09.2022	09.01.2023		BC5	      8	EA	Comerciais N	5260	Comerciais N	02.08.2022	BRL	D	20230109		EN					104	N			     0			00	0404	      826,56	   103,32	     0,00
	16296665	  10	4501733263	  60	10301343	2-1/2" PIPE SUPPORT ASSEMBLY	30.05.2022	11.10.2022	09.03.2023	10.06.2022	BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	B			     0	HALTEN	   9134291	01	0404	   29.575,11	 9.858,37	     0,00
	16296665	  20	4501733263	  70	10301343	2-1/2" PIPE SUPPORT ASSEMBLY	30.05.2022	11.10.2022	09.03.2023	10.06.2022	BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	B			     0	HALTEN	   9134351	01	0404	   29.575,11	 9.858,37	     0,00
	16296666	  10	4501733263	  90	10298829	WHC INDICATOR ASSEMBLY	30.05.2022	11.10.2022	09.03.2023	10.06.2022	BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	B			     0	HALTEN	   9134290	01	0404	    2.400,00	   800,00	     0,00
	16296666	  20	4501733263	  80	10298829	WHC INDICATOR ASSEMBLY	30.05.2022	11.10.2022	09.03.2023	10.06.2022	BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	B			     0	HALTEN	   9134350	01	0404	    2.400,00	   800,00	     0,00
	16296667	  10			10301374	VALVE BLOCK, SUPPORT ASSEMBLY	30.05.2022	11.10.2022	09.03.2023		BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	N			     0	HALTEN	   9134292	01	0404	   29.575,11	 9.858,37	     0,00
	16296667	  20			10301374	VALVE BLOCK, SUPPORT ASSEMBLY	30.05.2022	06.01.2023	01.06.2023		BC4	      3	EA	276828	5260	276828	06.06.2022	BRL	D	20230601	L	EN					146	N			     0	HALTEN	   9134349	01	0404	   29.575,11	 9.858,37	     0,00
	16296668	  10	4501733263	  30	10301382	1" PIPE SUPPORT ASSEMBLY	30.05.2022	11.10.2022	09.03.2023	10.06.2022	BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	B			     0	HALTEN	   9134293	01	0404	   29.575,11	 9.858,37	     0,00
	16296668	  20	4501733263	  40	10301382	1" PIPE SUPPORT ASSEMBLY	30.05.2022	11.10.2022	09.03.2023	10.06.2022	BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	B			     0	HALTEN	   9134352	01	0404	   29.575,11	 9.858,37	     0,00
	16296669	  10	4501733263	  10	10319035	1" PIPE SUPPORT ASSEMBLY, TOP	30.05.2022	11.10.2022	09.03.2023	10.06.2022	BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	B			     0	HALTEN	   9134294	00	0404	   29.575,11	 9.858,37	     0,00
	16296669	  20	4501733263	  20	10319035	1" PIPE SUPPORT ASSEMBLY, TOP	30.05.2022	11.10.2022	09.03.2023	10.06.2022	BC4	      3	EA	276828	5260	276828	05.10.2022	BRL	D	20230309	L	EN					126	B			     0	HALTEN	   9134353	00	0404	   29.575,11	 9.858,37	     0,00
	16314222	  10			10258125	ORIENTATION SPOOL, 7" VXT, 2 EFS, 7 HYD	03.06.2022	16.10.2022	07.03.2023		BC8	      6	EA	276828	5260	276828	06.10.2022	BRL	D	20230307	L	EN					110	N			     0	HALTEN	   9168090	17	0404	   59.150,22	 9.858,37	     0,00
	16336346	  10			10236569	TH MANDREL BUMPER, F/M	06.06.2022	16.10.2022	16.04.2023		BC3	      6	EA	276828	5260		06.10.2022	BRL	D	20230416		EN					160	N			     0	HALTEN		05	0404	        6,00	     1,00	     0,00
	16336350	  10			10237391	PRODUCTION STINGER BODY	06.06.2022	16.10.2022	15.02.2023		BC8	      6	EA	276828	5260		06.10.2022	BRL	D	20230215	L	EN					 95	N			     0	HALTEN	   9268305	04	0404	        6,00	     1,00	     0,00
	16336383	  10			10299041	SIDE COVER, LOWER, MACHINING	06.06.2022	11.10.2022	12.04.2023		BC4	      6	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		02	0404	        6,00	     1,00	     0,00
	16336384	  10			10299042	SIDE COVER, UPPER, MACHINING	06.06.2022	11.10.2022	12.04.2023		BC4	      6	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		01	0404	        6,00	     1,00	     0,00
	16336385	  10			10297348	SUPPORT PLATE, ROV PANEL, MACHINING	06.06.2022	11.10.2022	12.04.2023		BC4	      6	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		00	0404	        6,00	     1,00	     0,00
	16336387	  10			10297715	BRACKET MOUNTING, MACHINING	06.06.2022	11.10.2022	12.04.2023		BC4	     24	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		01	0404	       24,00	     1,00	     0,00
	16336392	  10			10295972	DIU PANEL, WELDMENT, MACHINING & COATING	06.06.2022	11.10.2022	12.04.2023		BC4	      6	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		01	0404	        6,00	     1,00	     0,00
	16336393	  10			10296295	FRONT PARKING PANEL, WELDMENT	06.06.2022	11.10.2022	12.04.2023		BC4	      6	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		01	0404	        6,00	     1,00	     0,00
	16336395	  10			10296296	REAR PARKING PANEL, WELDMENT	06.06.2022	11.10.2022	12.04.2023		BC4	      6	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		02	0404	        6,00	     1,00	     0,00
	16336396	  10			10307075	DIU FUNNEL, SHALLOW WATER DIU, WELDMENT	06.06.2022	11.10.2022	12.04.2023		BC4	      6	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		00	0404	        6,00	     1,00	     0,00
	16336397	  10			10295798	BUMPER BAR- PWB SIDE	06.06.2022	11.10.2022	12.04.2023		BC4	     12	EA	276828	5260		06.10.2022	BRL	D	20230412		EN					160	N			     0	HALTEN		02	0404	       12,00	     1,00	     0,00
